BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,lbw b Mohammad Amir,2,3,7,0,0,66.67
Quinton de Kock,c Imam-ul-Haq b Shadab Khan,47,60,83,3,2,78.33
Faf du Plessis,c Sarfaraz Ahmed b Mohammad Amir,63,79,112,5,0,79.75
Aiden Markram,b Shadab Khan,7,16,13,0,0,43.75
Rassie van der Dussen,c Mohammad Hafeez b Shadab Khan,36,47,71,1,1,76.60
David Miller,b Shaheen Shah Afridi,31,37,54,3,0,83.78
Andile Phehlukwayo,not out,46,32,50,6,0,143.75
Chris Morris,b Wahab Riaz,16,10,16,1,1,160.00
Kagiso Rabada,b Wahab Riaz,3,7,13,0,0,42.86
Lungi Ngidi,b Wahab Riaz,1,6,9,0,0,16.67
Imran Tahir,not out,1,3,8,0,0,33.33
