BATSMEN,,R,B,M,4s,6s,SR
Saeed Anwar,c Azharuddin b Prasad,36,44,79,6,0,81.82
Shahid Afridi,c Kumble b Srinath,6,5,10,1,0,120.00
Ijaz Ahmed,c Azharuddin b Srinath,11,24,29,1,0,45.83
Saleem Malik,lbw b Prasad,6,19,19,1,0,31.58
Inzamam-ul-Haq,lbw b Prasad,41,93,135,1,0,44.09
Azhar Mahmood,c Mongia b Kumble,10,17,27,1,0,58.82
Moin Khan,c Tendulkar b Prasad,34,37,41,2,1,91.89
Abdul Razzaq,b Srinath,11,12,22,0,1,91.67
Wasim Akram,c Kumble b Prasad,12,16,33,1,0,75.00
Saqlain Mushtaq,lbw b Kumble,0,4,3,0,0,0.00
Shoaib Akhtar,not out,0,3,3,0,0,0.00
