BATSMEN,,R,B,M,4s,6s,SR
Peter Fulton,b Hogg,62,72,127,5,0,86.11
Stephen Fleming,c Ponting b Tait,12,9,18,1,1,133.33
Ross Taylor,c Hussey b McGrath,3,6,8,0,0,50.00
Scott Styris,c Hayden b McGrath,27,22,30,5,0,122.73
Craig McMillan,lbw b Tait,1,5,6,0,0,20.00
James Franklin,b Watson,6,9,11,0,0,66.67
Brendon McCullum,c Hussey b Hogg,7,16,19,0,0,43.75
Daniel Vettori,c Symonds b Hogg,4,4,7,1,0,100.00
Mark Gillespie,c McGrath b Hogg,2,8,9,0,0,25.00
Michael Mason,c Gilchrist b Tait,0,5,6,0,0,0.00
Jeetan Patel,not out,0,1,3,0,0,0.00
