BATSMEN,,R,B,M,4s,6s,SR
Graeme Smith,st Sangakkara b Muralitharan,59,65,79,7,1,90.77
AB de Villiers,b Vaas,0,5,2,0,0,0.00
Jacques Kallis,c Sangakkara b Malinga,86,110,187,4,0,78.18
Herschelle Gibbs,c & b Muralitharan,31,51,79,1,0,60.78
Mark Boucher,lbw b Muralitharan,0,1,2,0,0,0.00
Justin Kemp,st Sangakkara b Jayasuriya,5,16,23,0,0,31.25
Shaun Pollock,b Malinga,13,24,23,1,0,54.17
Andrew Hall,c Tharanga b Malinga,0,1,2,0,0,0.00
Robin Peterson,not out,4,8,18,1,0,50.00
Makhaya Ntini,b Malinga,0,1,2,0,0,0.00
Charl Langeveldt,not out,1,9,8,0,0,11.11
