BATSMEN,,R,B,M,4s,6s,SR
Upul Tharanga,c Kemp b Ntini,12,13,13,2,0,92.31
Sanath Jayasuriya,c Kallis b Langeveldt,26,27,44,4,0,96.30
Mahela Jayawardene,c de Villiers b Langeveldt,12,31,49,1,0,38.71
Kumar Sangakkara,c Boucher b Hall,28,38,50,4,0,73.68
Chamara Silva,run out (Gibbs),9,27,44,1,0,33.33
Tillakaratne Dilshan,c Kemp b Ntini,58,76,100,4,0,76.32
Russel Arnold,c Boucher b Langeveldt,50,73,99,2,0,68.49
Farveez Maharoof,c Ntini b Langeveldt,5,9,14,0,0,55.56
Chaminda Vaas,c Gibbs b Langeveldt,0,1,3,0,0,0.00
Lasith Malinga,not out,0,2,3,0,0,0.00
Muttiah Muralitharan,run out (Pollock),1,1,1,0,0,100.00
