BATSMEN,,R,B,M,4s,6s,SR
Sherwin Campbell,b Shoaib Akhtar,9,14,12,0,1,64.29
Ridley Jacobs,c Inzamam-ul-Haq b Abdul Razzaq,25,53,103,3,1,47.17
Jimmy Adams,c Inzamam-ul-Haq b Azhar Mahmood,23,45,59,4,0,51.11
Brian Lara,c sub (Mushtaq Ahmed) b Abdul Razzaq,11,9,8,2,0,122.22
Shivnarine Chanderpaul,c Yousuf Youhana b Shoaib Akhtar,77,96,147,6,0,80.21
Ricardo Powell,c Yousuf Youhana b Saqlain Mushtaq,4,18,38,0,0,22.22
Phil Simmons,c Moin Khan b Azhar Mahmood,5,16,20,0,0,31.25
Sir Curtly Ambrose,c Moin Khan b Abdul Razzaq,1,9,5,0,0,11.11
Keith Arthurton,c Saeed Anwar b Azhar Mahmood,6,14,17,0,0,42.86
Mervyn Dillon,run out (Shoaib Akhtar),6,23,32,0,0,26.09
Courtney Walsh,not out,0,1,4,0,0,0.00
