BATSMEN,,R,B,M,4s,6s,SR
Kennedy Otieno,run out (Gibbs),1,7,10,0,0,14.29
Ravi Shah,run out (Klusener/Boje),60,87,110,7,0,68.97
Brijal Patel,c Boucher b Pollock,1,4,4,0,0,25.00
Steve Tikolo,c Kirsten b Pollock,3,16,25,0,0,18.75
Hitesh Modi,c Pollock b Boje,9,24,41,0,0,37.50
Maurice Odumbe,c Gibbs b Klusener,16,33,48,0,0,48.48
Thomas Odoyo,c Boucher b Ntini,22,41,55,2,1,53.66
Collins Obuya,lbw b Klusener,0,1,2,0,0,0.00
Martin Suji,c Pollock b Klusener,0,5,8,0,0,0.00
Peter Ongondo,c Kirsten b Klusener,13,13,17,1,1,100.00
Aasif Karim,not out,0,1,8,0,0,0.00
