BATSMEN,,R,B,M,4s,6s,SR
Quinton de Kock,c Root b Plunkett,68,74,94,6,2,91.89
Hashim Amla,c Buttler b Plunkett,13,23,46,1,0,56.52
Aiden Markram,c Root b Archer,11,12,17,2,0,91.67
Faf du Plessis,c Ali b Archer,5,7,11,1,0,71.43
Rassie van der Dussen,c Ali b Archer,50,61,85,4,1,81.97
Jean-Paul Duminy,c Stokes b Ali,8,11,12,1,0,72.73
Dwaine Pretorius,run out (Stokes/Morgan),1,1,6,0,0,100.00
Andile Phehlukwayo,c Stokes b Rashid,24,25,34,4,0,96.00
Kagiso Rabada,c Plunkett b Stokes,11,19,23,2,0,57.89
Lungi Ngidi,not out,6,5,10,0,1,120.00
Imran Tahir,c Root b Stokes,0,1,2,0,0,0.00
