BATSMEN,,R,B,M,4s,6s,SR
Jason Roy,c du Plessis b Phehlukwayo,54,53,80,8,0,101.89
Jonny Bairstow,c de Kock b Imran Tahir,0,1,2,0,0,0.00
Joe Root,c Duminy b Rabada,51,59,83,5,0,86.44
Eoin Morgan,c Markram b Imran Tahir,57,60,73,4,3,95.00
Ben Stokes,c Amla b Ngidi,89,79,132,9,0,112.66
Jos Buttler,b Ngidi,18,16,21,0,0,112.50
Moeen Ali,c du Plessis b Ngidi,3,9,13,0,0,33.33
Chris Woakes,c du Plessis b Rabada,13,14,24,1,0,92.86
Liam Plunkett,not out,9,6,11,1,0,150.00
Jofra Archer,not out,7,3,3,1,0,233.33
