BATSMEN,,R,B,M,4s,6s,SR
Marvan Atapattu,c sub (RJ Peterson) b Hall,124,129,191,18,0,96.12
Sanath Jayasuriya,run out (Kirsten),16,30,41,1,0,53.33
Hashan Tillakaratne,c Boucher b Kallis,14,28,40,2,0,50.00
Mahela Jayawardene,c Boucher b Hall,1,11,19,0,0,9.09
Aravinda de Silva,c Smith b Ntini,73,78,91,6,2,93.59
Russel Arnold,b Pollock,8,11,19,0,0,72.73
Kumar Sangakkara,c Pollock b Kallis,6,8,11,0,0,75.00
Chaminda Vaas,run out (Boucher),3,4,11,0,0,75.00
Muttiah Muralitharan,b Kallis,4,3,3,1,0,133.33
Dilhara Fernando,not out,1,3,2,0,0,33.33
