BATSMEN,,R,B,M,4s,6s,SR
Craig Wishart,b Srinath,12,19,38,2,0,63.16
Mark Vermeulen,c Dravid b Srinath,0,5,4,0,0,0.00
Andy Flower,b Harbhajan Singh,22,54,76,1,0,40.74
Grant Flower,c Harbhajan Singh b Ganguly,23,39,72,1,0,58.97
Dion Ebrahim,c sub (AB Agarkar) b Ganguly,19,27,32,1,0,70.37
Andy Blignaut,c Mongia b Ganguly,2,5,10,0,0,40.00
Tatenda Taibu,not out,29,44,82,0,0,65.91
Guy Whittall,c Khan b Sehwag,28,26,29,3,0,107.69
Heath Streak,c Kaif b Harbhajan Singh,20,33,22,1,0,60.61
Brian Murphy,b Khan,2,9,9,0,0,22.22
Douglas Hondo,b Khan,2,9,11,0,0,22.22
