BATSMEN,,R,B,M,4s,6s,SR
Taufeeq Umar,c Hogg b Lee,21,43,50,4,0,48.84
Shahid Afridi,c Gilchrist b Gillespie,1,8,16,0,0,12.50
Saleem Elahi,c Lee b Harvey,30,40,74,3,0,75.00
Inzamam-ul-Haq,c Gilchrist b McGrath,6,13,16,1,0,46.15
Mohammad Yousuf,c Symonds b Harvey,27,37,49,4,0,72.97
Younis Khan,c Ponting b Hogg,19,28,45,0,0,67.86
Abdul Razzaq,c & b Hogg,25,33,36,2,0,75.76
Rashid Latif,b Hogg,33,23,39,1,3,143.48
Wasim Akram,c Ponting b Harvey,33,31,44,4,1,106.45
Waqar Younis,c McGrath b Harvey,6,11,29,0,0,54.55
Shoaib Akhtar,not out,0,5,7,0,0,0.00
