BATSMEN,,R,B,M,4s,6s,SR
Adam Gilchrist,c Waqar Younis b Wasim Akram,1,3,10,0,0,33.33
Matthew Hayden,b Wasim Akram,27,41,51,3,0,65.85
Ricky Ponting,c Taufeeq Umar b Shoaib Akhtar,53,67,129,7,0,79.10
Damien Martyn,b Wasim Akram,0,1,1,0,0,0.00
Jimmy Maher,c Rashid Latif b Waqar Younis,9,19,26,1,0,47.37
Andrew Symonds,not out,143,125,139,18,2,114.40
Brad Hogg,run out (Younis Khan/Rashid Latif),14,22,32,0,0,63.64
Ian Harvey,c Waqar Younis b Shoaib Akhtar,24,19,28,3,0,126.32
Brett Lee,c Inzamam-ul-Haq b Waqar Younis,2,6,10,0,0,33.33
Jason Gillespie,not out,6,4,7,1,0,150.00
