BATSMEN,,R,B,M,4s,6s,SR
Kepler Wessels,b Kapil Dev,5,11,-,1,0,45.45
Trevor Chappell,c Srikkanth b Amarnath,110,131,-,11,0,83.97
Kim Hughes,b Madan Lal,52,86,-,3,0,60.47
David Hookes,c Kapil Dev b Madan Lal,1,4,-,0,0,25.00
Graham Yallop,not out,66,73,-,5,0,90.41
Allan Border,c Yashpal Sharma b Binny,26,23,-,1,0,113.04
Rod Marsh,c Sandhu b Kapil Dev,12,15,-,1,0,80.00
Ken MacLeay,c & b Kapil Dev,4,5,-,0,0,80.00
Tom Hogan,b Kapil Dev,11,9,-,0,1,122.22
Geoff Lawson,c Srikkanth b Kapil Dev,6,3,-,1,0,200.00
Rodney Hogg,not out,2,2,-,0,0,100.00
