BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Kapil Dev,8,2,16,0,2.00,-,-,-,0,0
Balwinder Sandhu,10,1,26,2,2.60,-,-,-,0,0
Madan Lal,8.2,3,20,4,2.40,-,-,-,0,0
Roger Binny,8,2,29,4,3.63,-,-,-,0,0
Mohinder Amarnath,2,0,17,0,8.50,-,-,-,0,0
Kirti Azad,2,0,7,0,3.50,-,-,-,0,0
