BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Khurram Chohan,8,0,62,0,7.75,22,10,0,0,0
Henry Osinde,2.1,0,10,0,4.62,9,1,0,2,1
Harvir Baidwan,8.5,0,59,2,6.68,25,8,0,2,0
Jimmy Hansra,9,0,47,0,5.22,27,3,1,1,0
Rizwan Cheema,7,0,47,1,6.71,15,5,0,0,0
Balaji Rao,7,0,48,0,6.86,14,3,1,0,0
John Davison,8,0,56,2,7.00,10,3,0,2,0
