BATSMEN,,R,B,M,4s,6s,SR
Amjad Ali,c Sorensen b O'Brien,45,71,76,5,0,63.38
Andri Berenger,c Porterfield b Stirling,13,25,47,1,0,52.00
Krishna Chandran,c O'Brien b Stirling,0,4,6,0,0,0.00
Khurram Khan,lbw b Dockrell,36,53,70,2,0,67.92
Swapnil Patil,c Stirling b O'Brien,2,8,7,0,0,25.00
Shaiman Anwar,c Wilson b Sorensen,106,83,126,10,1,127.71
Rohan Mustafa,c Wilson b Cusack,2,9,13,0,0,22.22
Amjad Javed,c Joyce b Sorensen,42,35,55,5,0,120.00
Mohammad Naveed,c & b Cusack,13,11,19,2,0,118.18
Mohammad Tauqir,not out,2,2,6,0,0,100.00
Manjula Guruge,not out,0,0,1,0,0,0.00
