BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,b Mohammad Tauqir,37,64,102,2,0,57.81
Paul Stirling,c Patil b Guruge,3,9,7,0,0,33.33
Ed Joyce,c Patil b Amjad Javed,37,49,77,3,0,75.51
Niall O'Brien,lbw b Mohammad Tauqir,17,24,22,1,0,70.83
Andy Balbirnie,c sub (Saqlain Haider) b Mohammad Naveed,30,41,55,1,0,73.17
Gary Wilson,c Amjad Javed b Mohammad Naveed,80,69,101,9,0,115.94
Kevin O'Brien,c Mohammad Naveed b Amjad Javed,50,25,34,8,2,200.00
John Mooney,c Amjad Ali b Amjad Javed,2,6,14,0,0,33.33
Alex Cusack,not out,5,6,10,0,0,83.33
George Dockrell,not out,7,5,8,1,0,140.00
