BATSMEN,,R,B,M,4s,6s,SR
Nasir Jamshed,c Russell b Taylor,0,2,1,0,0,0.00
Ahmed Shehzad,c Simmons b Holder,1,10,16,0,0,10.00
Younis Khan,c Ramdin b Taylor,0,1,3,0,0,0.00
Haris Sohail,c sub (JL Carter) b Taylor,0,6,8,0,0,0.00
Misbah-ul-Haq,c Gayle b Russell,7,21,34,1,0,33.33
Sohaib Maqsood,c Benn b Sammy,50,66,92,4,1,75.76
Umar Akmal,c Smith b Russell,59,71,88,5,1,83.10
Shahid Afridi,c Holder b Benn,28,26,50,4,0,107.69
Wahab Riaz,c Ramdin b Russell,3,13,17,0,0,23.08
Sohail Khan,c Ramdin b Benn,1,8,12,0,0,12.50
Mohammad Irfan,not out,2,11,8,0,0,18.18
