BATSMEN,,R,B,M,4s,6s,SR
Eric Szwarczynski,c O'Brien b Johnston,1,4,8,0,0,25.00
Wesley Barresi,lbw b Stirling,44,49,61,4,2,89.80
Tom Cooper,c Porterfield b Rankin,5,5,7,1,0,100.00
Ryan ten Doeschate,c Mooney b Stirling,106,108,166,13,1,98.15
Alexei Kervezee,c O'Brien b Mooney,12,16,34,2,0,75.00
Peter Borren,c Porterfield b Mooney,84,82,108,10,0,102.44
Atse Buurman,run out (O'Brien),26,30,49,4,0,86.67
Mudassar Bukhari,run out (Mooney/O'Brien),11,8,22,0,1,137.50
Pieter Seelaar,run out (Mooney),0,1,1,0,0,0.00
Adeel Raja,run out (Joyce/O'Brien),0,0,1,0,0,0.00
Bernard Loots,not out,0,0,1,0,0,0.00
