BATSMEN,,R,B,M,4s,6s,SR
Ali Shah,c Kirmani b Sandhu,8,32,-,1,0,25.00
Grant Paterson,lbw b Madan Lal,22,51,-,2,0,43.14
Jack Heron,c Kirmani b Madan Lal,18,30,-,2,0,60.00
Andy Pycroft,c Shastri b Binny,14,21,-,1,0,66.67
Dave Houghton,c Kirmani b Madan Lal,21,47,-,1,0,44.68
Duncan Fletcher,b Kapil Dev,13,32,-,0,0,40.63
Kevin Curran,run out,8,16,-,0,0,50.00
Iain Butchart,not out,22,35,-,2,0,62.86
Robin Brown,c Kirmani b Shastri,6,27,-,0,0,22.22
Peter Rawson,c Kirmani b Binny,3,6,-,0,0,50.00
John Traicos,run out,2,13,-,0,0,15.38
