BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sheldon Cottrell,10,0,50,2,5.00,31,4,0,2,0
Kemar Roach,10,0,36,3,3.60,41,2,1,0,0
Oshane Thomas,7,0,63,0,9.00,18,7,2,2,0
Fabian Allen,10,0,52,0,5.20,27,5,0,0,0
Jason Holder,10,2,33,2,3.30,46,6,0,0,0
Carlos Brathwaite,3,0,33,0,11.00,0,3,0,2,0
