BATSMEN,,R,B,M,4s,6s,SR
Sir Andrew Strauss,c Gayle b Russell,31,39,50,3,1,79.49
Matt Prior,b Russell,21,21,36,3,0,100.00
Jonathan Trott,c Gayle b Bishoo,47,38,55,7,0,123.68
Ian Bell,b Roach,27,48,58,1,0,56.25
Eoin Morgan,c Thomas b Bishoo,7,13,22,0,0,53.85
Ravi Bopara,b Russell,4,16,27,0,0,25.00
Luke Wright,c Russell b Bishoo,44,57,72,5,0,77.19
James Tredwell,run out (Thomas/Pollard),9,20,32,0,0,45.00
Tim Bresnan,not out,20,27,39,2,0,74.07
Graeme Swann,b Russell,8,8,14,1,0,100.00
Chris Tremlett,c Thomas b Roach,3,7,6,0,0,42.86
