BATSMEN,,R,B,M,4s,6s,SR
Dipak Chudasama,c Lara b Walsh,8,7,8,2,0,114.29
Tariq Iqbal,c Cuffy b Walsh,16,32,44,2,0,50.00
Kennedy Otieno,c Adams b Walsh,2,5,7,0,0,40.00
Steve Tikolo,c Adams b Harper,29,50,85,3,1,58.00
Maurice Odumbe,hit wicket b Bishop,6,30,48,0,0,20.00
Hitesh Modi,c Adams b Ambrose,26,74,111,1,0,35.14
Martin Suji,c Lara b Harper,0,4,8,0,0,0.00
Thomas Odoyo,st Adams b Harper,24,59,61,3,0,40.68
Tito Odumbe,b Cuffy,1,4,2,0,0,25.00
Aasif Karim,c Adams b Ambrose,11,27,43,1,0,40.74
Rajab Ali,not out,6,19,16,0,0,31.58
