BATSMEN,,R,B,M,4s,6s,SR
Sherwin Campbell,b Suji,4,12,19,1,0,33.33
Sir Richie Richardson,b Ali,5,11,15,1,0,45.45
Brian Lara,c Iqbal b Ali,8,11,19,1,0,72.73
Shivnarine Chanderpaul,c Tikolo b MO Odumbe,19,48,72,3,0,39.58
Keith Arthurton,run out,0,6,8,0,0,0.00
Jimmy Adams,c Modi b MO Odumbe,9,37,57,1,0,24.32
Roger Harper,c Iqbal b MO Odumbe,17,18,26,3,0,94.44
Ian Bishop,not out,6,42,55,0,0,14.29
Sir Curtly Ambrose,run out,3,13,13,0,0,23.08
Courtney Walsh,c Chudasama b Karim,4,8,15,1,0,50.00
Cameron Cuffy,b Ali,1,8,8,0,0,12.50
