BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Derek Pringle,10,2,22,3,2.20,51,1,0,3,5
Chris Lewis,10,2,52,0,5.20,36,5,0,1,2
Sir Ian Botham,7,0,42,1,6.00,22,5,0,1,0
Phil DeFreitas,10,1,42,0,4.20,30,3,0,0,0
Richard Illingworth,10,0,50,1,5.00,28,2,1,0,0
Dermot Reeve,3,0,22,0,7.33,6,2,0,1,0
