BATSMEN,,R,B,M,4s,6s,SR
Graeme Wood,retired hurt,2,19,-,0,0,10.53
Kepler Wessels,b Roberts,11,27,-,2,0,40.74
Kim Hughes,c Lloyd b Davis,18,16,-,0,2,112.50
David Hookes,c Dujon b Davis,45,45,-,5,0,100.00
Graham Yallop,c Holding b Davis,29,26,-,4,0,111.54
Allan Border,c Lloyd b Davis,17,22,-,2,0,77.27
Ken MacLeay,c Haynes b Davis,1,8,-,0,0,12.50
Rod Marsh,c Haynes b Holding,8,15,-,1,0,53.33
Geoff Lawson,c Dujon b Davis,2,8,-,0,0,25.00
Rodney Hogg,not out,0,2,-,0,0,0.00
Dennis Lillee,b Davis,0,2,-,0,0,0.00
