BATSMEN,,R,B,M,4s,6s,SR
Gulbadin Naib,c Lewis b Roach,5,6,8,1,0,83.33
Rahmat Shah,c Gayle b Brathwaite,62,78,112,10,0,79.49
Ikram Alikhil,lbw b Gayle,86,93,142,8,0,92.47
Najibullah Zadran,run out (Hetmyer/Brathwaite),31,38,42,1,1,81.58
Asghar Afghan,c Holder b Brathwaite,40,32,47,4,1,125.00
Mohammad Nabi,c Allen b Roach,2,6,11,0,0,33.33
Samiullah Shinwari,c Hetmyer b Roach,6,9,18,0,0,66.67
Rashid Khan,c Holder b Brathwaite,9,16,27,0,1,56.25
Dawlat Zadran,c Cottrell b Brathwaite,1,2,6,0,0,50.00
Sayed Shirzad,c Allen b Thomas,25,17,20,2,2,147.06
Mujeeb Ur Rahman,not out,7,5,13,1,0,140.00
