BATSMEN,,R,B,M,4s,6s,SR
Dwayne Smith,c Dhoni b Mohammed Shami,6,20,19,1,0,30.00
Chris Gayle,c Sharma b Mohammed Shami,21,27,44,2,1,77.78
Marlon Samuels,run out (Sharma/Kohli),2,7,14,0,0,28.57
Jonathan Carter,c Mohammed Shami b Ashwin,21,43,67,3,0,48.84
Denesh Ramdin,b Yadav,0,1,2,0,0,0.00
Lendl Simmons,c Yadav b Sharma,9,22,39,0,0,40.91
Daren Sammy,c Dhoni b Mohammed Shami,26,55,69,2,0,47.27
Andre Russell,c Kohli b Jadeja,8,8,13,0,1,100.00
Jason Holder,c Kohli b Jadeja,57,64,79,4,3,89.06
Jerome Taylor,c & b Yadav,11,18,30,1,0,61.11
Kemar Roach,not out,0,1,6,0,0,0.00
