BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
James Franklin,7,2,16,1,2.29,30,0,0,1,0
Shane Bond,10,1,26,2,2.60,47,3,0,1,1
Jacob Oram,5,2,23,0,4.60,20,1,2,0,0
Jeetan Patel,10,1,36,0,3.60,33,0,1,0,0
Daniel Vettori,10,0,50,1,5.00,29,3,0,1,0
Scott Styris,3,0,16,0,5.33,7,0,0,2,0
Craig McMillan,5,0,23,3,4.60,13,1,0,0,0
