BATSMEN,,R,B,M,4s,6s,SR
Al Sahariar,c Peterson b Pollock,0,12,11,0,0,0.00
Ehsanul Haque,c Zondeki b Pollock,3,30,44,0,0,10.00
Mohammad Ashraful,c Boucher b Ntini,6,10,21,1,0,60.00
Sanwar Hossain,c Kallis b Hall,11,14,29,1,0,78.57
Alok Kapali,c Dippenaar b Zondeki,2,15,24,0,0,13.33
Tushar Imran,c Dippenaar b Hall,9,24,40,0,0,37.50
Khaled Mashud,c Boucher b Ntini,29,67,77,3,0,43.28
Khaled Mahmud,c Klusener b Ntini,23,35,60,1,1,65.71
Mohammad Rafique,run out (Kallis/Peterson),1,2,3,0,0,50.00
Manjurul Islam,c Dippenaar b Ntini,0,2,4,0,0,0.00
Talha Jubair,not out,4,8,8,1,0,50.00
