BATSMEN,,R,B,M,4s,6s,SR
Craig Spearman,b Saleem Raza,78,77,114,10,0,101.30
Nathan Astle,b Samarasekera,2,2,11,0,0,100.00
Stephen Fleming,c & b Dukanwala,16,11,17,4,0,145.45
Roger Twose,c Mazhar Hussain b Azhar Saeed,92,112,134,8,0,82.14
Chris Cairns,c Imtiaz Abbasi b Zarawani,6,20,10,0,0,30.00
Adam Parore,c Azhar Saeed b Zarawani,15,18,24,0,0,83.33
Shane Thomson,not out,31,35,40,2,0,88.57
Lee Germon,b Azhar Saeed,3,6,8,0,0,50.00
Dion Nash,lbw b Azhar Saeed,8,12,14,0,0,66.67
Danny Morrison,not out,10,2,2,1,1,500.00
