BATSMEN,,R,B,M,4s,6s,SR
Azhar Saeed,c Fleming b Nash,5,20,25,0,0,25.00
Saleem Raza,c Kennedy b Morrison,21,17,30,3,1,123.53
Mazhar Hussain,c Cairns b Thomson,29,53,63,5,0,54.72
Vijay Mehra,c Cairns b Thomson,12,21,49,1,0,57.14
Mohammad Ishaq,c Fleming b Kennedy,8,9,19,0,0,88.89
Mohammad Aslam,c Twose b Thomson,1,12,22,0,0,8.33
Shaukat Dukanwala,c & b Cairns,8,21,21,0,0,38.10
Arshad Laeeq,run out,14,36,39,3,0,38.89
Johanne Samarasekera,not out,47,59,65,5,0,79.66
Sultan Zarawani,c Thomson b Nash,13,18,29,1,0,72.22
Imtiaz Abbasi,not out,2,6,5,0,0,33.33
