BATSMEN,,R,B,M,4s,6s,SR
Kennedy Otieno,c Thorpe b Austin,0,8,13,0,0,0.00
Ravi Shah,c Stewart b Gough,46,80,102,4,0,57.50
Steve Tikolo,c Gough b Ealham,71,107,141,8,0,66.36
Maurice Odumbe,b Gough,6,13,9,0,0,46.15
Hitesh Modi,run out (Fairbrother),5,11,15,1,0,45.45
Alpesh Vadher,b Croft,6,19,14,1,0,31.58
Thomas Odoyo,not out,34,32,49,3,1,106.25
Aasif Karim,b Ealham,9,17,20,1,0,52.94
Tony Suji,b Gough,4,5,3,0,0,80.00
Mohammad Sheikh,b Gough,7,6,7,1,0,116.67
Martin Suji,run out (Thorpe),0,3,2,0,0,0.00
