BATSMEN,,R,B,M,4s,6s,SR
William Porterfield,c Harbhajan Singh b Yuvraj Singh,75,104,146,6,1,72.12
Paul Stirling,b Khan,0,1,2,0,0,0.00
Ed Joyce,c Dhoni b Khan,4,5,8,1,0,80.00
Niall O'Brien,run out (Kohli/Dhoni),46,78,93,3,0,58.97
Andrew White,c Dhoni b Yuvraj Singh,5,10,8,0,0,50.00
Kevin O'Brien,c & b Yuvraj Singh,9,13,14,1,0,69.23
Alex Cusack,lbw b Yuvraj Singh,24,30,49,3,0,80.00
John Mooney,lbw b Yuvraj Singh,5,17,19,0,0,29.41
Trent Johnston,lbw b Patel,17,20,38,2,0,85.00
George Dockrell,c Dhoni b Khan,3,10,19,0,0,30.00
Boyd Rankin,not out,1,1,5,0,0,100.00
