BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Mervyn Dillon,10,1,31,1,3.10,41,1,0,3,0
Vasbert Drakes,10,2,33,5,3.30,44,5,0,0,1
Jermaine Lawson,8,0,16,2,2.00,41,1,0,4,0
Ricardo Powell,4,2,8,1,2.00,18,0,0,0,0
Shivnarine Chanderpaul,2,0,6,0,3.00,7,0,0,0,0
Wavell Hinds,1.5,0,7,1,3.82,7,0,0,1,0
