BATSMEN,,R,B,M,4s,6s,SR
Navdeep Poonia,c Smits b Stelling,0,2,2,0,0,0.00
Majid Haq,b Reekers,6,15,10,1,0,40.00
Ryan Watson,c & b de Leede,16,37,52,3,0,43.24
Gavin Hamilton,lbw b Stelling,4,13,10,0,0,30.77
Dougie Brown,lbw b Stelling,0,1,2,0,0,0.00
Neil McCallum,c Stelling b Jonkman,24,43,68,3,1,55.81
Colin Smith,b Jonkman,19,23,30,4,0,82.61
Craig Wright,st Smits b Mohammad Kashif,1,7,12,0,0,14.29
John Blain,not out,18,28,49,1,1,64.29
Glenn Rogers,c Smits b Mohammad Kashif,26,30,27,5,0,86.67
Paul Hoffmann,c ten Doeschate b van Bunge,7,8,13,1,0,87.50
