BATSMEN,,R,B,M,4s,6s,SR
Hashim Amla,b Broad,42,51,81,2,0,82.35
Graeme Smith,c Prior b Swann,22,41,63,2,0,53.66
Jacques Kallis,c Prior b Broad,15,20,26,3,0,75.00
AB de Villiers,b Anderson,25,44,56,0,0,56.82
Faf du Plessis,run out (Bell/Prior),17,38,52,2,0,44.74
Jean-Paul Duminy,b Anderson,0,4,12,0,0,0.00
Morne van Wyk,b Bresnan,13,37,67,0,0,35.14
Robin Peterson,c Prior b Yardy,3,16,15,0,0,18.75
Dale Steyn,lbw b Broad,20,31,51,3,0,64.52
Morne Morkel,c Prior b Broad,1,3,10,0,0,33.33
Imran Tahir,not out,1,1,2,0,0,100.00
