BATSMEN,,R,B,M,4s,6s,SR
Sir Andrew Strauss,c de Villiers b Peterson,0,3,1,0,0,0.00
Kevin Pietersen,c Kallis b Peterson,2,3,5,0,0,66.67
Jonathan Trott,c & b Imran Tahir,52,94,123,3,0,55.32
Ian Bell,c & b Peterson,5,7,14,1,0,71.43
Ravi Bopara,lbw b Morkel,60,98,149,3,1,61.22
Matt Prior,c van Wyk b Morkel,10,19,24,1,0,52.63
Michael Yardy,c Peterson b Imran Tahir,3,17,40,0,0,17.65
Tim Bresnan,lbw b Steyn,1,4,5,0,0,25.00
Graeme Swann,c Duminy b Imran Tahir,16,20,28,3,0,80.00
Stuart Broad,lbw b Imran Tahir,0,3,2,0,0,0.00
James Anderson,not out,2,6,10,0,0,33.33
