BATSMEN,,R,B,M,4s,6s,SR
Martin Guptill,lbw b Woakes,19,18,30,2,1,105.56
Henry Nicholls,b Plunkett,55,77,123,4,0,71.43
Kane Williamson,c Buttler b Plunkett,30,53,77,2,0,56.60
Ross Taylor,lbw b Wood,15,31,47,0,0,48.39
Tom Latham,c sub (JM Vince) b Woakes,47,56,104,2,1,83.93
James Neesham,c Root b Plunkett,19,25,28,3,0,76.00
Colin de Grandhomme,c sub (JM Vince) b Woakes,16,28,38,0,0,57.14
Mitchell Santner,not out,5,9,19,0,0,55.56
Matt Henry,b Archer,4,2,7,1,0,200.00
Trent Boult,not out,1,2,3,0,0,50.00
