BATSMEN,,R,B,M,4s,6s,SR
Jason Roy,c Latham b Henry,17,20,24,3,0,85.00
Jonny Bairstow,b Ferguson,36,55,79,7,0,65.45
Joe Root,c Latham b de Grandhomme,7,30,40,0,0,23.33
Eoin Morgan,c Ferguson b Neesham,9,22,34,0,0,40.91
Ben Stokes,not out,84,98,147,5,2,85.71
Jos Buttler,c sub (TG Southee) b Ferguson,59,60,94,6,0,98.33
Chris Woakes,c Latham b Ferguson,2,4,8,0,0,50.00
Liam Plunkett,c Boult b Neesham,10,10,13,1,0,100.00
Jofra Archer,b Neesham,0,1,5,0,0,0.00
Adil Rashid,run out (Santner/Boult),0,0,7,0,0,0.00
Mark Wood,run out (Neesham/Boult),0,0,3,0,0,0.00
