BATSMEN,,R,B,M,4s,6s,SR
David Warner,c Kumar b Chahal,56,84,111,5,0,66.67
Aaron Finch,run out (Jadhav/Pandya),36,35,60,3,1,102.86
Steven Smith,lbw b Kumar,69,70,115,5,1,98.57
Usman Khawaja,b Bumrah,42,39,48,4,1,107.69
Glenn Maxwell,c sub (RA Jadeja) b Chahal,28,14,25,5,0,200.00
Marcus Stoinis,b Kumar,0,2,3,0,0,0.00
Alex Carey,not out,55,35,50,5,1,157.14
Nathan Coulter-Nile,c Kohli b Bumrah,4,9,22,0,0,44.44
Pat Cummins,c Dhoni b Bumrah,8,7,11,1,0,114.29
Mitchell Starc,run out (sub [V Shankar]/Kumar),3,3,12,0,0,100.00
Adam Zampa,c sub (RA Jadeja) b Kumar,1,3,4,0,0,33.33
