BATSMEN,,R,B,M,4s,6s,SR
Matt Horne,c Lara b Walsh,2,21,20,0,0,9.52
Nathan Astle,c Jacobs b Ambrose,2,6,6,0,0,33.33
Craig McMillan,c Jacobs b Simmons,32,78,102,1,0,41.03
Stephen Fleming,c Jacobs b King,0,17,23,0,0,0.00
Roger Twose,c Williams b King,0,12,26,0,0,0.00
Chris Cairns,c Lara b Dillon,23,40,58,2,0,57.50
Adam Parore,c Jacobs b Dillon,23,41,63,4,0,56.10
Chris Harris,c Campbell b Dillon,30,50,80,2,0,60.00
Dion Nash,c Williams b Dillon,1,10,12,0,0,10.00
Gavin Larsen,c Jacobs b Simmons,14,18,20,2,0,77.78
Geoff Allott,not out,0,2,3,0,0,0.00
