BATSMEN,,R,B,M,4s,6s,SR
Shivnarine Chanderpaul,c Fleming b McGrath,80,126,172,7,0,63.49
Courtney Browne,c & b Warne,10,18,26,0,0,55.56
Brian Lara,b SR Waugh,45,45,69,4,0,100.00
Sir Richie Richardson,not out,49,83,123,4,0,59.04
Roger Harper,lbw b McGrath,2,5,8,0,0,40.00
Ottis Gibson,c Healy b Warne,1,2,3,0,0,50.00
Jimmy Adams,lbw b Warne,2,11,10,0,0,18.18
Keith Arthurton,c Healy b Fleming,0,4,5,0,0,0.00
Ian Bishop,lbw b Warne,3,3,2,0,0,100.00
Sir Curtly Ambrose,run out (Healy),2,2,4,0,0,100.00
Courtney Walsh,b Fleming,0,1,1,0,0,0.00
