Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Peter Kirsten,7,1,22,1,3.14,0,0,0,0,0,1991,42
Champaka Ramanayake,0.2,0,1,0,3.0,0,0,0,0,0,1991,2
Derek Pringle,7,3,16,0,2.29,0,0,0,0,0,1991,42
Chris Lewis,8.2,1,30,3,3.6,0,0,0,0,1,1991,50
Phil DeFreitas,9,2,34,3,3.78,0,0,0,2,0,1991,54
Sir Ian Botham,10,0,30,1,3.0,0,0,0,0,0,1991,60
Dermot Reeve,10,1,23,1,2.3,0,0,0,1,0,1991,60
Phil Tufnell,5,0,20,0,4.0,0,0,0,0,0,1991,30
Sir Curtly Ambrose,8,1,26,0,3.25,0,0,0,0,0,1991,48
Malcolm Marshall,8,0,37,0,4.63,0,0,0,2,0,1991,48
Winston Benjamin,9.5,2,22,2,2.24,0,0,0,2,1,1991,59
Carl Hooper,10,1,38,1,3.8,0,0,0,0,0,1991,60
Roger Harper,4,0,30,1,7.5,0,0,0,0,0,1991,24
Eddo Brandes,10,1,49,0,4.9,0,0,0,0,4,1991,60
Malcolm Jarvis,10,1,52,1,5.2,0,0,0,0,0,1991,60
Ali Shah,10,1,24,0,2.4,0,0,0,0,0,1991,60
Iain Butchart,10,0,57,3,5.7,0,0,0,0,0,1991,60
John Traicos,10,0,63,0,6.3,0,0,0,0,0,1991,60
Wasim Akram,10,2,21,3,2.1,0,0,0,3,0,1991,60
Aaqib Javed,10,1,49,1,4.9,0,0,0,1,0,1991,60
Iqbal Sikander,10,1,35,1,3.5,0,0,0,1,0,1991,60
Mushtaq Ahmed,10,1,34,0,3.4,0,0,0,0,0,1991,60
Aamer Sohail,6,1,26,2,4.33,0,0,0,0,0,1991,36
Saleem Malik,4,0,18,0,4.5,0,0,0,1,0,1991,24
Allan Donald,10,0,34,3,3.4,0,0,0,5,0,1991,60
Meyrick Pringle,10,0,52,0,5.2,0,0,0,1,2,1991,60
Richard Snell,9,1,15,0,1.67,0,0,0,0,0,1991,54
Brian McMillan,10,0,35,2,3.5,0,0,0,3,2,1991,60
Adrian Kuiper,5,0,15,2,3.0,0,0,0,1,0,1991,30
Hansie Cronje,5,1,17,0,3.4,0,0,0,1,0,1991,30
Craig McDermott,10,1,23,0,2.3,0,0,0,0,2,1991,60
Bruce Reid,8.5,0,41,0,4.64,0,0,0,4,0,1991,53
Mike Whitney,6,0,26,0,4.33,0,0,0,0,0,1991,36
Steve Waugh,4,1,16,0,4.0,0,0,0,1,0,1991,24
Peter Taylor,10,1,32,1,3.2,0,0,0,1,0,1991,60
Allan Border,4,0,13,0,3.25,0,0,0,0,0,1991,24
Tom Moody,4,0,15,0,3.75,0,0,0,0,0,1991,24
Danny Morrison,8,0,36,0,4.5,0,0,0,1,2,1991,48
Willie Watson,10,0,37,3,3.7,0,0,0,1,2,1991,60
Gavin Larsen,10,1,29,0,2.9,0,0,0,1,0,1991,60
Chris Harris,10,0,43,3,4.3,0,0,0,1,1,1991,60
Rod Latham,3,0,13,0,4.33,0,0,0,0,0,1991,18
Dipak Patel,9,0,32,0,3.56,0,0,0,0,0,1991,54
Champaka Ramanayake,9.2,0,46,0,4.93,0,0,0,2,2,1991,56
Pramodya Wickramasinghe,8,1,40,1,5.0,0,0,0,1,0,1991,48
Don Anurasiri,10,1,27,0,2.7,0,0,0,0,0,1991,60
Ruwan Kalpage,10,0,33,2,3.3,0,0,0,0,0,1991,60
Asanka Gurusinha,4,0,19,1,4.75,0,0,0,0,0,1991,24
Arjuna Ranatunga,4,0,22,0,5.5,0,0,0,0,0,1991,24
Sanath Jayasuriya,2,0,14,0,7.0,0,0,0,0,0,1991,12
Aravinda de Silva,1,0,6,0,6.0,0,0,0,1,0,1991,6
Malcolm Marshall,10,1,53,0,5.3,0,0,0,3,0,1991,60
Sir Curtly Ambrose,10,0,40,0,4.0,0,0,0,1,2,1991,60
Winston Benjamin,10,0,49,1,4.9,0,0,0,1,0,1991,60
Carl Hooper,10,0,41,0,4.1,0,0,0,0,0,1991,60
Roger Harper,10,0,33,1,3.3,0,0,0,0,0,1991,60
Wasim Akram,10,0,37,0,3.7,0,0,0,7,0,1991,60
Aaqib Javed,8.5,0,42,0,4.75,0,0,0,0,2,1991,53
Wasim Haider,8,0,42,0,5.25,0,0,0,0,1,1991,48
Ijaz Ahmed,6,1,29,0,4.83,0,0,0,0,0,1991,36
Iqbal Sikander,8,1,26,0,3.25,0,0,0,0,0,1991,48
Aamer Sohail,6,0,35,0,5.83,0,0,0,0,0,1991,36
Champaka Ramanayake,10,0,59,0,5.9,0,0,0,3,1,1991,60
Kapila Wijegunawardene,7,0,54,0,7.71,0,0,0,3,5,1991,42
Pramodya Wickramasinghe,10,1,50,2,5.0,0,0,0,1,2,1991,60
Asanka Gurusinha,10,0,72,2,7.2,0,0,0,6,0,1991,60
Ruwan Kalpage,10,0,51,0,5.1,0,0,0,0,0,1991,60
Sanath Jayasuriya,3,0,18,0,6.0,0,0,0,0,0,1991,18
Malcolm Jarvis,9.2,0,51,1,5.46,0,0,0,1,0,1991,56
Eddo Brandes,10,0,70,3,7.0,0,0,0,0,0,1991,60
Kevin Duers,10,0,72,0,7.2,0,0,0,0,0,1991,60
Iain Butchart,8,0,63,0,7.88,0,0,0,3,0,1991,48
John Traicos,10,1,33,1,3.3,0,0,0,1,0,1991,60
Dave Houghton,2,0,19,1,9.5,0,0,0,0,0,1991,12
Kapil Dev,10,0,38,2,3.8,0,0,0,6,0,1991,60
Manoj Prabhakar,10,3,34,2,3.4,0,0,0,0,0,1991,60
Javagal Srinath,9,1,47,2,5.22,0,0,0,5,0,1991,54
Subroto Banerjee,7,0,45,1,6.43,0,0,0,0,0,1991,42
Sachin Tendulkar,10,0,37,0,3.7,0,0,0,1,0,1991,60
Ravi Shastri,4,0,28,1,7.0,0,0,0,1,0,1991,24
Derek Pringle,10,0,53,0,5.3,0,0,0,1,0,1991,60
Chris Lewis,9.2,0,36,0,3.86,0,0,0,5,1,1991,56
Phil DeFreitas,10,0,39,1,3.9,0,0,0,0,0,1991,60
Dermot Reeve,6,0,38,3,6.33,0,0,0,1,0,1991,36
Sir Ian Botham,10,0,27,2,2.7,0,0,0,0,0,1991,60
Phil Tufnell,4,0,25,0,6.25,0,0,0,0,0,1991,24
Craig McDermott,10,1,43,2,4.3,0,0,0,2,0,1991,60
Bruce Reid,10,0,39,1,3.9,0,0,0,2,4,1991,60
Tom Moody,9,1,37,1,4.11,0,0,0,0,0,1991,54
Steve Waugh,10,0,60,0,6.0,0,0,0,2,0,1991,60
Peter Taylor,7,0,36,0,5.14,0,0,0,0,0,1991,42
Mark Waugh,4,0,27,0,6.75,0,0,0,1,0,1991,24
Chris Cairns,4,0,30,0,7.5,0,0,0,1,1,1991,24
Dipak Patel,10,1,36,1,3.6,0,0,0,1,0,1991,60
Willie Watson,9,1,39,1,4.33,0,0,0,0,0,1991,54
Gavin Larsen,10,1,30,3,3.0,0,0,0,0,0,1991,60
Chris Harris,7.1,0,35,1,4.88,0,0,0,0,0,1991,43
Rod Latham,8,0,35,1,4.38,0,0,0,0,0,1991,48
Pramodya Wickramasinghe,7,0,38,0,5.43,0,0,0,2,0,1995,42
Chaminda Vaas,6,1,30,1,5.0,0,0,0,0,0,1995,36
Muttiah Muralitharan,10,0,31,1,3.1,0,0,0,1,0,1995,60
Kumar Dharmasena,10,0,47,1,4.7,0,0,0,0,1,1995,60
Sanath Jayasuriya,8,0,43,1,5.38,0,0,0,5,0,1995,48
Aravinda de Silva,9,0,42,3,4.67,0,0,0,3,0,1995,54
Glenn McGrath,8.2,1,28,0,3.36,0,0,0,0,0,1995,50
Damien Fleming,6,0,43,1,7.17,0,0,0,4,0,1995,36
Shane Warne,10,0,58,0,5.8,0,0,0,1,1,1995,60
Paul Reiffel,10,0,49,1,4.9,0,0,0,0,0,1995,60
Mark Waugh,6,0,35,0,5.83,0,0,0,0,0,1995,36
Steve Waugh,3,0,15,0,5.0,0,0,0,0,1,1995,18
Michael Bevan,3,0,12,0,4.0,0,0,0,0,0,1995,18
Sir Curtly Ambrose,10,1,26,2,2.6,42,1,0,3,0,1995,60
Ian Bishop,10,1,35,2,3.5,42,1,0,1,3,1995,60
Courtney Walsh,10,1,33,0,3.3,37,2,0,0,1,1995,60
Ottis Gibson,2,0,13,0,6.5,8,2,0,0,1,1995,12
Roger Harper,9,0,47,1,5.22,30,4,1,0,0,1995,54
Jimmy Adams,9,0,42,0,4.67,23,1,0,1,0,1995,54
Glenn McGrath,10,2,30,2,3.0,42,1,0,0,1,1995,60
Damien Fleming,8.3,0,48,2,5.65,30,7,0,1,0,1995,51
Shane Warne,9,0,36,4,4.0,33,1,0,1,0,1995,54
Mark Waugh,4,0,16,0,4.0,11,0,0,0,0,1995,24
Steve Waugh,7,0,30,1,4.29,27,4,0,0,0,1995,42
Paul Reiffel,5,0,13,0,2.6,21,0,0,0,1,1995,30
Michael Bevan,4,1,12,0,3.0,16,1,0,0,0,1995,24
Stuart Law,2,0,13,0,6.5,5,2,0,0,0,1995,12
Javagal Srinath,7,1,34,3,4.86,0,0,0,0,0,1995,42
Anil Kumble,10,0,51,1,5.1,0,0,0,1,0,1995,60
Venkatesh Prasad,8,0,50,1,6.25,0,0,0,2,2,1995,48
Aashish Kapoor,10,0,40,0,4.0,0,0,0,0,0,1995,60
Ajay Jadeja,5,0,31,0,6.2,0,0,0,0,0,1995,30
Sachin Tendulkar,10,1,34,2,3.4,0,0,0,1,0,1995,60
Pramodya Wickramasinghe,5,0,24,0,4.8,0,0,0,2,0,1995,30
Chaminda Vaas,6,1,23,1,3.83,0,0,0,0,0,1995,36
Muttiah Muralitharan,7.1,0,29,1,4.05,0,0,0,1,0,1995,43
Kumar Dharmasena,7,0,24,1,3.43,0,0,0,0,0,1995,42
Sanath Jayasuriya,7,1,12,3,1.71,0,0,0,1,0,1995,42
Aravinda de Silva,2,0,3,1,1.5,0,0,0,1,0,1995,12
Paul Reiffel,4,0,38,1,9.5,0,0,0,1,3,1995,24
Damien Fleming,5,1,20,1,4.0,0,0,0,0,0,1995,30
Glenn McGrath,9,2,50,2,5.56,0,0,0,0,1,1995,54
Mark Waugh,8,0,43,1,5.38,0,0,0,0,0,1995,48
Shane Warne,10,0,52,2,5.2,0,0,0,1,0,1995,60
Michael Bevan,10,0,52,1,5.2,0,0,0,1,1,1995,60
Steve Waugh,4,0,25,0,6.25,0,0,0,0,0,1995,24
Dion Nash,9,1,44,1,4.89,0,0,0,1,0,1995,54
Dipak Patel,8,0,45,1,5.63,0,0,0,0,0,1995,48
Chris Cairns,6.5,0,51,0,7.46,0,0,0,0,1,1995,41
Chris Harris,10,0,41,0,4.1,0,0,0,1,2,1995,60
Shane Thomson,8,0,57,1,7.13,0,0,0,1,0,1995,48
Nathan Astle,3,0,21,1,7.0,0,0,0,0,0,1995,18
Roger Twose,3,0,23,0,7.67,0,0,0,0,0,1995,18
Shaun Pollock,9,0,46,0,5.11,0,0,0,1,0,1995,54
Craig Matthews,10,0,42,1,4.2,0,0,0,0,0,1995,60
Hansie Cronje,3,0,17,0,5.67,0,0,0,0,0,1995,18
Brian McMillan,10,1,37,2,3.7,0,0,0,0,1,1995,60
Pat Symcox,10,0,64,2,6.4,0,0,0,0,0,1995,60
Paul Adams,8,0,45,2,5.63,0,0,0,1,0,1995,48
Sir Curtly Ambrose,10,0,29,1,2.9,0,0,0,0,0,1995,60
Courtney Walsh,8.3,0,51,1,6.0,0,0,0,1,2,1995,51
Ian Bishop,5,0,31,0,6.2,0,0,0,0,3,1995,30
Roger Harper,10,0,47,4,4.7,0,0,0,0,1,1995,60
Jimmy Adams,10,0,53,3,5.3,0,0,0,0,0,1995,60
Keith Arthurton,6,0,29,1,4.83,0,0,0,0,0,1995,36
Waqar Younis,10,1,67,2,6.7,29,6,2,1,0,1995,60
Aaqib Javed,10,0,67,1,6.7,31,9,0,4,1,1995,60
Ata-ur-Rehman,10,0,40,1,4.0,36,3,0,1,3,1995,60
Mushtaq Ahmed,10,0,56,2,5.6,28,4,1,3,0,1995,60
Aamer Sohail,5,0,29,1,5.8,13,1,0,4,0,1995,30
Saleem Malik,5,0,25,0,5.0,12,1,0,2,0,1995,30
Javagal Srinath,9,0,61,1,6.78,29,7,2,1,0,1995,54
Venkatesh Prasad,10,0,45,3,4.5,35,6,0,2,0,1995,60
Anil Kumble,10,0,48,3,4.8,32,3,2,0,0,1995,60
Venkatapathy Raju,10,0,46,1,4.6,33,3,1,1,0,1995,60
Sachin Tendulkar,5,0,25,0,5.0,16,3,0,0,0,1995,30
Ajay Jadeja,5,0,19,0,3.8,17,1,0,1,0,1995,30
Pramodya Wickramasinghe,7,0,43,0,6.14,0,0,0,1,0,1995,42
Chaminda Vaas,8,1,29,1,3.63,0,0,0,1,0,1995,48
Muttiah Muralitharan,10,1,37,2,3.7,0,0,0,1,0,1995,60
Kumar Dharmasena,10,0,30,2,3.0,0,0,0,0,0,1995,60
Sanath Jayasuriya,9,0,46,2,5.11,0,0,0,0,0,1995,54
Aravinda de Silva,6,0,42,0,7.0,0,0,0,1,0,1995,36
Peter Martin,9,1,41,0,4.56,0,0,0,2,0,1995,54
Richard Illingworth,10,1,72,1,7.2,0,0,0,0,0,1995,60
Darren Gough,10,1,36,1,3.6,0,0,0,0,0,1995,60
Phil DeFreitas,3.4,0,38,0,10.36,0,0,0,0,0,1995,22
Dermot Reeve,4,1,14,1,3.5,0,0,0,0,1,1995,24
Graeme Hick,4,0,34,1,8.5,0,0,0,0,0,1995,24
Danny Morrison,2,0,17,0,8.5,0,0,0,0,0,1995,12
Dion Nash,10,1,49,0,4.9,0,0,0,0,0,1995,60
Chris Cairns,10,1,53,1,5.3,0,0,0,0,0,1995,60
Robert Kennedy,5,0,32,1,6.4,0,0,0,0,0,1995,30
Nathan Astle,9,0,50,0,5.56,0,0,0,0,0,1995,54
Shane Thomson,6,0,35,0,5.83,0,0,0,0,0,1995,36
Roger Twose,8,0,40,0,5.0,0,0,0,0,0,1995,48
Waqar Younis,9,2,32,2,3.56,0,0,0,1,0,1995,54
Aaqib Javed,7.3,0,45,2,6.0,0,0,0,2,0,1995,45
Mushtaq Ahmed,10,0,32,2,3.2,0,0,0,0,0,1995,60
Saleem Malik,7,0,41,2,5.86,0,0,0,1,0,1995,42
Ijaz Ahmed,4,0,21,0,5.25,0,0,0,0,1,1995,24
Aamer Sohail,10,0,51,1,5.1,0,0,0,0,0,1995,60
Martin Suji,9,0,85,1,9.44,0,0,0,0,0,1995,54
Rajab Ali,6,0,67,0,11.17,0,0,0,0,0,1995,36
Lameck Onyango,4,0,31,0,7.75,0,0,0,0,0,1995,24
Tito Odumbe,5,0,34,2,6.8,0,0,0,0,0,1995,30
Aasif Karim,10,0,50,1,5.0,0,0,0,0,0,1995,60
David Tikolo,2,0,13,0,6.5,0,0,0,0,0,1995,12
Maurice Odumbe,9,0,74,0,8.22,0,0,0,0,0,1995,54
Steve Tikolo,5,0,38,0,7.6,0,0,0,0,0,1995,30
Chaminda Vaas,10,0,44,1,4.4,0,0,0,0,0,1995,60
Muttiah Muralitharan,10,1,40,2,4.0,0,0,0,0,0,1995,60
Ravindra Pushpakumara,7,0,46,0,6.57,0,0,0,0,0,1995,42
Arjuna Ranatunga,5,0,31,2,6.2,0,0,0,0,0,1995,30
Kumar Dharmasena,10,0,45,1,4.5,0,0,0,0,0,1995,60
Sanath Jayasuriya,7,0,34,0,4.86,0,0,0,0,0,1995,42
Hashan Tillakaratne,1,0,4,0,4.0,0,0,0,0,0,1995,6
Heath Streak,10,3,29,1,2.9,0,0,0,0,1,1995,60
Charlie Lock,10,1,57,2,5.7,0,0,0,2,0,1995,60
Bryan Strang,5,1,22,1,4.4,0,0,0,0,0,1995,30
Paul Strang,10,0,55,1,5.5,0,0,0,0,0,1995,60
Stephen Peall,6,0,35,0,5.83,0,0,0,1,0,1995,36
Guy Whittall,3,0,19,0,6.33,0,0,0,0,0,1995,18
Grant Flower,3,0,16,0,5.33,0,0,0,0,0,1995,18
Alistair Campbell,3,0,13,0,4.33,0,0,0,0,0,1995,18
Javagal Srinath,10,1,36,2,3.6,0,0,0,1,0,1995,60
Venkatesh Prasad,7,0,40,0,5.71,0,0,0,4,0,1995,42
Anil Kumble,9.4,1,33,2,3.41,0,0,0,1,0,1995,58
Venkatapathy Raju,10,2,30,3,3.0,0,0,0,0,0,1995,60
Sachin Tendulkar,6,0,23,0,3.83,0,0,0,0,0,1995,36
Ajay Jadeja,7,0,32,2,4.57,0,0,0,1,0,1995,42
Paul-Jan Bakker,10,1,64,0,6.4,0,0,0,1,0,1995,60
Steven Lubbers,8,0,50,0,6.25,0,0,0,0,0,1995,48
Tim de Leede,10,0,59,0,5.9,0,0,0,1,0,1995,60
Flavian Aponso,10,0,57,1,5.7,0,0,0,0,0,1995,60
Peter Cantrell,10,0,61,1,6.1,0,0,0,0,0,1995,60
Eric Gouka,2,0,32,1,16.0,0,0,0,0,1,1995,12
Shaun Pollock,8,0,35,1,4.38,0,0,0,5,0,1995,48
Craig Matthews,10,0,38,2,3.8,0,0,0,0,0,1995,60
Allan Donald,6,0,21,2,3.5,0,0,0,1,0,1995,36
Hansie Cronje,3,1,3,0,1.0,0,0,0,0,0,1995,18
Pat Symcox,10,1,22,2,2.2,0,0,0,0,0,1995,60
Brian McMillan,4,2,5,0,1.25,0,0,0,0,0,1995,24
Jacques Kallis,7,1,30,0,4.29,0,0,0,0,0,1995,42
Daryll Cullinan,2,0,7,0,3.5,0,0,0,0,0,1995,12
Sir Curtly Ambrose,10,4,25,0,2.5,0,0,0,1,0,1995,60
Courtney Walsh,9,2,35,2,3.89,0,0,0,0,0,1995,54
Ian Bishop,9,0,52,0,5.78,0,0,0,4,1,1995,54
Roger Harper,10,0,46,1,4.6,0,0,0,0,0,1995,60
Keith Arthurton,9,0,53,0,5.89,0,0,0,0,0,1995,54
Jimmy Adams,3,0,15,0,5.0,0,0,0,1,0,1995,18
Paul Reiffel,10,2,45,1,4.5,0,0,0,1,2,1995,60
Damien Fleming,7.5,1,44,1,5.62,0,0,0,1,0,1995,47
Glenn McGrath,9,0,46,0,5.11,0,0,0,1,0,1995,54
Shane Warne,10,1,30,0,3.0,0,0,0,1,0,1995,60
Mark Waugh,10,1,38,3,3.8,0,0,0,1,0,1995,60
Michael Bevan,2,0,17,0,8.5,0,0,0,0,0,1995,12
Wasim Akram,7,1,31,1,4.43,0,0,0,3,0,1995,42
Waqar Younis,10,1,45,1,4.5,0,0,0,0,0,1995,60
Aaqib Javed,7,0,34,0,4.86,0,0,0,0,3,1995,42
Mushtaq Ahmed,10,0,53,3,5.3,0,0,0,0,0,1995,60
Aamer Sohail,10,0,48,2,4.8,0,0,0,1,1,1995,60
Saleem Malik,6,1,27,1,4.5,0,0,0,0,0,1995,36
Dominic Cork,10,0,59,2,5.9,0,0,0,2,0,1995,60
Peter Martin,9,0,45,0,5.0,0,0,0,0,0,1995,54
Darren Gough,10,0,45,0,4.5,0,0,0,0,0,1995,60
Richard Illingworth,10,0,46,1,4.6,0,0,0,0,0,1995,60
Dermot Reeve,6.4,0,37,0,5.55,0,0,0,0,0,1995,40
Graeme Hick,2,0,17,0,8.5,0,0,0,0,0,1995,12
Chaminda Vaas,9,3,37,0,4.11,0,0,0,2,0,1995,54
Ravindra Pushpakumara,8,0,53,1,6.63,0,0,0,7,0,1995,48
Muttiah Muralitharan,10,1,42,0,4.2,0,0,0,1,0,1995,60
Kumar Dharmasena,9,0,53,1,5.89,0,0,0,1,0,1995,54
Sanath Jayasuriya,10,0,52,0,5.2,0,0,0,0,0,1995,60
Arjuna Ranatunga,4,0,23,0,5.75,0,0,0,0,0,1995,24
Manoj Prabhakar,4,0,47,0,11.75,0,0,0,0,0,1995,24
Javagal Srinath,9.4,0,51,0,5.28,0,0,0,0,0,1995,58
Venkatesh Prasad,10,1,53,1,5.3,0,0,0,1,2,1995,60
Salil Ankola,5,0,28,0,5.6,0,0,0,0,0,1995,30
Anil Kumble,10,1,39,2,3.9,0,0,0,0,0,1995,60
Sachin Tendulkar,10,0,41,0,4.1,0,0,0,2,0,1995,60
Shahzad Altaf,10,3,15,1,1.5,0,0,0,0,0,1995,60
Johanne Samarasekera,9,1,36,0,4.0,0,0,0,0,0,1995,54
Saeed-al-Saffar,3,0,25,0,8.33,0,0,0,0,0,1995,18
Shaukat Dukanwala,10,0,29,5,2.9,0,0,0,0,0,1995,60
Sultan Zarawani,8,0,40,1,5.0,0,0,0,0,0,1995,48
Saleem Raza,5,0,23,0,4.6,0,0,0,0,0,1995,30
Azhar Saeed,5,0,29,2,5.8,0,0,0,0,0,1995,30
Paul-Jan Bakker,8,0,41,0,5.13,0,0,0,0,0,1995,48
Roland Lefebvre,8,0,24,1,3.0,0,0,0,1,0,1995,48
Steven Lubbers,9,0,38,1,4.22,0,0,0,0,0,1995,54
Peter Cantrell,8,0,30,0,3.75,0,0,0,0,0,1995,48
Flavian Aponso,7.2,0,47,0,6.41,0,0,0,0,0,1995,44
Tim de Leede,4,0,33,0,8.25,0,0,0,0,0,1995,24
Glenn McGrath,8,2,12,1,1.5,0,0,0,0,0,1995,48
Damien Fleming,9,1,30,2,3.33,0,0,0,0,1,1995,54
Shane Lee,4,2,8,0,2.0,0,0,0,0,1,1995,24
Steve Waugh,7,2,22,2,3.14,0,0,0,0,0,1995,42
Shane Warne,9.3,1,34,4,3.58,0,0,0,3,0,1995,57
Mark Waugh,5,0,30,0,6.0,0,0,0,0,0,1995,30
Stuart Law,3,0,10,0,3.33,0,0,0,0,0,1995,18
Heath Streak,10,3,29,0,2.9,0,0,0,1,1,1995,60
Charlie Lock,4,0,25,0,6.25,0,0,0,0,0,1995,24
Bryan Strang,3,0,20,0,6.67,0,0,0,0,0,1995,18
Guy Whittall,2,0,11,0,5.5,0,0,0,0,0,1995,12
Paul Strang,10,2,33,2,3.3,0,0,0,0,0,1995,60
Stephen Peall,4,0,20,0,5.0,0,0,0,0,0,1995,24
Grant Flower,3,0,12,0,4.0,0,0,0,0,0,1995,18
Shaun Pollock,9,0,49,1,5.44,0,0,0,0,1,1995,54
Craig Matthews,10,0,47,1,4.7,0,0,0,1,0,1995,60
Hansie Cronje,5,0,20,2,4.0,0,0,0,0,0,1995,30
Allan Donald,8,0,50,0,6.25,0,0,0,1,1,1995,48
Paul Adams,10,0,42,1,4.2,0,0,0,2,0,1995,60
Brian McMillan,8,0,31,0,3.88,0,0,0,0,0,1995,48
Wasim Akram,9.2,0,49,0,5.25,0,0,0,0,4,1995,56
Waqar Younis,8,0,50,3,6.25,0,0,0,3,2,1995,48
Mushtaq Ahmed,10,0,54,0,5.4,0,0,0,0,0,1995,60
Aamer Sohail,6,0,35,0,5.83,0,0,0,2,2,1995,36
Saqlain Mushtaq,10,1,38,2,3.8,0,0,0,1,0,1995,60
Saleem Malik,1,0,5,0,5.0,0,0,0,0,0,1995,6
Sir Curtly Ambrose,8.3,1,21,2,2.47,0,0,0,5,0,1995,51
Courtney Walsh,9,0,46,3,5.11,0,0,0,3,6,1995,54
Ian Bishop,10,2,30,1,3.0,0,0,0,1,2,1995,60
Cameron Cuffy,8,0,31,1,3.88,0,0,0,5,7,1995,48
Roger Harper,10,4,15,3,1.5,0,0,0,0,0,1995,60
Keith Arthurton,4,0,13,0,3.25,0,0,0,0,0,1995,24
Martin Suji,7,2,16,1,2.29,0,0,0,0,0,1995,42
Rajab Ali,7.2,2,17,3,2.32,0,0,0,0,0,1995,44
Aasif Karim,8,1,19,1,2.38,0,0,0,0,0,1995,48
Maurice Odumbe,10,3,15,3,1.5,0,0,0,0,0,1995,60
Thomas Odoyo,3,0,15,0,5.0,0,0,0,0,0,1995,18
Manoj Prabhakar,10,0,55,0,5.5,0,0,0,0,0,1995,60
Javagal Srinath,10,1,51,0,5.1,0,0,0,0,0,1995,60
Venkatesh Prasad,10,0,49,2,4.9,0,0,0,2,2,1995,60
Anil Kumble,10,1,47,1,4.7,0,0,0,0,0,1995,60
Venkatapathy Raju,10,0,48,2,4.8,0,0,0,0,0,1995,60
Glenn McGrath,8,3,48,0,6.0,0,0,0,0,1,1995,48
Damien Fleming,9,0,36,5,4.0,0,0,0,2,0,1995,54
Shane Warne,10,1,28,1,2.8,0,0,0,2,0,1995,60
Shane Lee,3,0,23,0,7.67,0,0,0,2,0,1995,18
Mark Waugh,10,0,44,1,4.4,0,0,0,1,0,1995,60
Michael Bevan,5,0,28,0,5.6,0,0,0,0,0,1995,30
Steve Waugh,3,0,22,2,7.33,0,0,0,1,0,1995,18
Johanne Samarasekera,6,0,30,1,5.0,0,0,0,0,0,1995,36
Arshad Laeeq,2,0,16,0,8.0,0,0,0,0,0,1995,12
Saleem Raza,9,0,48,1,5.33,0,0,0,0,0,1995,54
Shaukat Dukanwala,10,0,46,1,4.6,0,0,0,0,1,1995,60
Mazhar Hussain,3,0,28,0,9.33,0,0,0,0,0,1995,18
Azhar Saeed,7,0,45,3,6.43,0,0,0,0,0,1995,42
Sultan Zarawani,10,0,49,2,4.9,0,0,0,0,0,1995,60
Danny Morrison,7,0,37,1,5.29,0,0,0,0,2,1995,42
Dion Nash,9,1,34,2,3.78,0,0,0,2,0,1995,54
Chris Cairns,10,2,31,1,3.1,0,0,0,0,0,1995,60
Robert Kennedy,6,0,20,1,3.33,0,0,0,1,0,1995,36
Shane Thomson,10,2,20,3,2.0,0,0,0,0,0,1995,60
Nathan Astle,5,0,23,0,4.6,0,0,0,0,0,1995,30
Heath Streak,7,2,23,0,3.29,0,0,0,4,0,1995,42
Charlie Lock,8,2,19,1,2.38,0,0,0,0,0,1995,48
Guy Whittall,5,0,21,0,4.2,0,0,0,3,1,1995,30
Stephen Peall,10,1,23,1,2.3,0,0,0,1,0,1995,60
Bryan Strang,10,0,24,2,2.4,0,0,0,0,0,1995,60
Paul Strang,9.4,1,21,5,2.17,0,0,0,0,0,1995,58
Martin Suji,9.2,0,37,0,3.96,0,0,0,0,0,1995,56
Rajab Ali,8,1,22,3,2.75,0,0,0,0,0,1995,48
Tito Odumbe,2,0,14,0,7.0,0,0,0,0,0,1995,12
Thomas Odoyo,2,0,7,0,3.5,0,0,0,0,0,1995,12
Aasif Karim,10,1,21,0,2.1,0,0,0,0,0,1995,60
Maurice Odumbe,10,2,24,2,2.4,0,0,0,0,0,1995,60
Steve Tikolo,1,0,5,0,5.0,0,0,0,0,0,1995,6
Wasim Akram,10,1,30,0,3.0,0,0,0,1,3,1995,60
Waqar Younis,10,0,26,4,2.6,0,0,0,1,2,1995,60
Aaqib Javed,9,2,25,2,2.78,0,0,0,1,1,1995,54
Mushtaq Ahmed,10,2,27,0,2.7,0,0,0,0,0,1995,60
Aamer Sohail,9,0,21,0,2.33,0,0,0,1,0,1995,54
Saleem Malik,2,0,9,0,4.5,0,0,0,0,0,1995,12
Roland Lefebvre,7,1,20,1,2.86,0,0,0,0,0,1995,42
Paul-Jan Bakker,7,1,13,0,1.86,0,0,0,0,0,1995,42
Floris Jansen,2,0,22,0,11.0,0,0,0,1,0,1995,12
Tim de Leede,4,0,20,0,5.0,0,0,0,0,0,1995,24
Flavian Aponso,5,0,38,0,7.6,0,0,0,0,0,1995,30
Peter Cantrell,4,0,18,1,4.5,0,0,0,0,0,1995,24
Eric Gouka,1.4,0,19,0,11.4,0,0,0,0,0,1995,10
Martin Suji,5,1,11,0,2.2,0,0,0,0,0,1995,30
Rajab Ali,5,0,14,1,2.8,0,0,0,0,0,1995,30
Thomas Odoyo,3,0,10,0,3.33,0,0,0,0,0,1995,18
Tito Odumbe,2.5,0,8,2,2.82,0,0,0,0,0,1995,17
Dominic Cork,10,0,36,2,3.6,0,0,0,1,0,1995,60
