Bowler,Overs,Maidens,Runs,Wickets,Economy,0s,4s,6s,Wides,NoBalls,Year,Balls
Rumesh Ratnayake,12,2,42,2,3.5,0,0,0,0,0,1983,72
Arjuna Ranatunga,11,0,49,0,4.45,0,0,0,0,0,1983,66
Somachandra De Silva,12,1,42,0,3.5,0,0,0,0,0,1983,72
Sidath Wettimuny,1,0,4,0,4.0,0,0,0,0,0,1983,6
Rashid Khan,12,4,31,2,2.58,0,0,0,0,0,1983,72
Sarfraz Nawaz,11.3,2,25,1,2.17,0,0,0,0,0,1983,69
Shahid Mahboob,10,1,62,1,6.2,0,0,0,0,0,1983,60
Mansoor Akhtar,1,0,8,0,8.0,0,0,0,0,0,1983,6
Ijaz Faqih,12,0,27,0,2.25,0,0,0,0,0,1983,72
Abdul Qadir,12,1,44,5,3.67,0,0,0,0,0,1983,72
Kapil Dev,12,0,46,1,3.83,0,0,0,0,0,1983,72
Balwinder Sandhu,12,2,42,1,3.5,0,0,0,0,0,1983,72
Roger Binny,12,0,71,3,5.92,0,0,0,0,0,1983,72
Mohinder Amarnath,12,0,58,1,4.83,0,0,0,0,0,1983,72
Madan Lal,12,0,47,1,3.92,0,0,0,0,0,1983,72
Sir Andy Roberts,9,1,29,2,3.22,0,0,0,0,0,1983,54
Michael Holding,9.1,0,40,3,4.36,0,0,0,0,0,1983,55
Malcolm Marshall,11,3,20,1,1.82,0,0,0,0,0,1983,66
Winston Davis,12,2,51,0,4.25,0,0,0,0,0,1983,72
Larry Gomes,12,1,55,1,4.58,0,0,0,0,0,1983,72
Sir Richard Hadlee,10,3,32,3,3.2,0,0,0,0,0,1983,60
Lance Cairns,11,0,44,3,4.0,0,0,0,0,0,1983,66
Jeremy Coney,12,2,27,1,2.25,0,0,0,0,0,1983,72
John Bracewell,12,0,66,1,5.5,0,0,0,0,0,1983,72
Ewen Chatfield,10.2,0,50,2,4.84,0,0,0,0,0,1983,62
Bob Willis,12,1,42,4,3.5,0,0,0,0,0,1983,72
Graham Dilley,12,1,43,0,3.58,0,0,0,0,0,1983,72
Sir Ian Botham,12,1,47,1,3.92,0,0,0,0,0,1983,72
Paul Allott,11.5,2,44,1,3.72,0,0,0,0,0,1983,71
Vic Marks,12,1,34,1,2.83,0,0,0,0,0,1983,72
Sir Andy Roberts,12,4,36,3,3.0,0,0,0,0,0,1983,72
Michael Holding,12,2,33,2,2.75,0,0,0,0,0,1983,72
Wayne Daniel,12,4,21,0,1.75,0,0,0,0,0,1983,72
Winston Davis,12,2,34,0,2.83,0,0,0,0,0,1983,72
Larry Gomes,8,0,42,1,5.25,0,0,0,0,0,1983,48
Sir Viv Richards,4,1,13,0,3.25,0,0,0,0,0,1983,24
Peter Rawson,12,1,39,2,3.25,0,0,0,0,0,1983,72
Kevin Curran,10.3,1,37,0,3.52,0,0,0,0,0,1983,63
Iain Butchart,9,1,40,0,4.44,0,0,0,0,0,1983,54
Duncan Fletcher,4,0,22,0,5.5,0,0,0,0,0,1983,24
John Traicos,9,0,37,0,4.11,0,0,0,0,0,1983,54
Ali Shah,4,0,23,0,5.75,0,0,0,0,0,1983,24
Kapil Dev,12,2,43,5,3.58,0,0,0,0,0,1983,72
Balwinder Sandhu,12,1,52,0,4.33,0,0,0,0,0,1983,72
Roger Binny,12,0,52,1,4.33,0,0,0,0,0,1983,72
Ravi Shastri,2,0,16,0,8.0,0,0,0,0,0,1983,12
Madan Lal,12,0,69,2,5.75,0,0,0,0,0,1983,72
Sandeep Patil,6,0,36,0,6.0,0,0,0,0,0,1983,36
Mohinder Amarnath,4,0,27,1,6.75,0,0,0,0,0,1983,24
Geoff Lawson,5,1,25,1,5.0,0,0,0,0,0,1983,30
Rodney Hogg,7,2,23,0,3.29,0,0,0,0,0,1983,42
Tom Hogan,12,1,48,2,4.0,0,0,0,0,0,1983,72
Ken MacLeay,11.5,3,39,6,3.3,0,0,0,0,0,1983,71
Allan Border,2,0,13,0,6.5,0,0,0,0,0,1983,12
Sir Richard Hadlee,10.1,4,25,5,2.46,0,0,0,0,0,1983,61
Martin Snedden,10,1,38,1,3.8,0,0,0,0,0,1983,60
Ewen Chatfield,12,4,24,2,2.0,0,0,0,0,0,1983,72
Lance Cairns,7,0,35,0,5.0,0,0,0,0,0,1983,42
Jeremy Coney,12,0,44,2,3.67,0,0,0,0,0,1983,72
Martin Crowe,5,0,32,0,6.4,0,0,0,0,0,1983,30
Ashantha de Mel,8,2,30,2,3.75,0,0,0,0,0,1983,48
Vinothen John,8.2,0,49,1,5.88,0,0,0,0,0,1983,50
Rumesh Ratnayake,12,0,60,1,5.0,0,0,0,0,0,1983,72
Somachandra De Silva,9,0,39,1,4.33,0,0,0,0,0,1983,54
Arjuna Ranatunga,2,0,22,0,11.0,0,0,0,0,0,1983,12
Bob Willis,12,4,24,2,2.0,0,0,0,0,0,1983,72
Graham Dilley,12,1,33,0,2.75,0,0,0,0,0,1983,72
Paul Allott,12,2,48,1,4.0,0,0,0,0,0,1983,72
Sir Ian Botham,12,3,36,2,3.0,0,0,0,0,0,1983,72
Vic Marks,12,1,33,1,2.75,0,0,0,0,0,1983,72
Rashid Khan,7,2,19,1,2.71,0,0,0,0,0,1983,42
Sarfraz Nawaz,11,5,22,0,2.0,0,0,0,0,0,1983,66
Wasim Raja,3,0,14,0,4.67,0,0,0,0,0,1983,18
Mudassar Nazar,8,0,30,0,3.75,0,0,0,0,0,1983,48
Abdul Qadir,9.4,0,53,0,5.48,0,0,0,0,0,1983,58
Mansoor Akhtar,12,2,44,1,3.67,0,0,0,0,0,1983,72
Kapil Dev,9,3,18,1,2.0,0,0,0,0,0,1983,54
Balwinder Sandhu,9,1,29,1,3.22,0,0,0,0,0,1983,54
Madan Lal,10.4,0,27,3,2.53,0,0,0,0,0,1983,64
Roger Binny,11,2,25,2,2.27,0,0,0,0,0,1983,66
Ravi Shastri,12,1,38,1,3.17,0,0,0,0,0,1983,72
Peter Rawson,5.1,1,11,2,2.13,0,0,0,0,0,1983,31
Kevin Curran,6.5,1,33,0,4.83,0,0,0,0,0,1983,41
Iain Butchart,5,1,21,0,4.2,0,0,0,0,0,1983,30
John Traicos,11,1,41,1,3.73,0,0,0,0,0,1983,66
Duncan Fletcher,6,1,32,1,5.33,0,0,0,0,0,1983,36
Ali Shah,3.3,0,17,1,4.86,0,0,0,0,0,1983,21
Geoff Lawson,12,3,29,3,2.42,0,0,0,0,0,1983,72
Rodney Hogg,12,1,49,1,4.08,0,0,0,0,0,1983,72
Ken MacLeay,12,1,31,1,2.58,0,0,0,0,0,1983,72
Dennis Lillee,12,0,55,2,4.58,0,0,0,0,0,1983,72
Graham Yallop,5,0,26,1,5.2,0,0,0,0,0,1983,30
Allan Border,7,0,31,0,4.43,0,0,0,0,0,1983,42
Sir Andy Roberts,7,0,14,1,2.0,0,0,0,0,0,1983,42
Michael Holding,8,2,23,1,2.88,0,0,0,0,0,1983,48
Winston Davis,10.3,0,51,7,4.86,0,0,0,0,0,1983,63
Wayne Daniel,3,0,35,0,11.67,0,0,0,0,0,1983,18
Larry Gomes,2,0,10,0,5.0,0,0,0,0,0,1983,12
Sarfraz Nawaz,11,1,49,1,4.45,0,0,0,0,0,1983,66
Shahid Mahboob,10,2,38,1,3.8,0,0,0,0,0,1983,60
Rashid Khan,11,0,47,3,4.27,0,0,0,0,0,1983,66
Mudassar Nazar,12,1,40,0,3.33,0,0,0,0,0,1983,72
Abdul Qadir,12,4,21,4,1.75,0,0,0,0,0,1983,72
Ijaz Faqih,1,0,6,0,6.0,0,0,0,0,0,1983,6
Zaheer Abbas,3,0,12,0,4.0,0,0,0,0,0,1983,18
Sir Richard Hadlee,9,2,20,3,2.22,0,0,0,0,0,1983,54
Lance Cairns,9.2,3,21,2,2.25,0,0,0,0,0,1983,56
Ewen Chatfield,12,0,50,2,4.17,0,0,0,0,0,1983,72
Martin Crowe,2,0,12,0,6.0,0,0,0,0,0,1983,12
Jeremy Coney,12,3,28,3,2.33,0,0,0,0,0,1983,72
John Bracewell,11,2,39,0,3.55,0,0,0,0,0,1983,66
Ashantha de Mel,12,3,62,2,5.17,0,0,0,0,0,1983,72
Vinothen John,12,0,55,1,4.58,0,0,0,0,0,1983,72
Rumesh Ratnayake,12,0,66,2,5.5,0,0,0,0,0,1983,72
Arjuna Ranatunga,12,0,65,1,5.42,0,0,0,0,0,1983,72
Somachandra De Silva,12,0,65,0,5.42,0,0,0,0,0,1983,72
Bob Willis,11,3,43,0,3.91,0,0,0,0,0,1983,66
Graham Dilley,11,0,45,4,4.09,0,0,0,0,0,1983,66
Paul Allott,12,1,82,1,6.83,0,0,0,0,0,1983,72
Sir Ian Botham,12,0,60,0,5.0,0,0,0,0,0,1983,72
Vic Marks,12,3,39,5,3.25,0,0,0,0,0,1983,72
Michael Holding,12,3,32,2,2.67,0,0,0,0,0,1983,72
