Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,StrikeRate,Year
Asanka Gurusinha,c & b Lewis,7,9,31,0,0,77.78,1991
Aravinda de Silva,c Fairbrother b Lewis,7,10,10,1,0,70.0,1991
Arjuna Ranatunga,c Stewart b Botham,36,51,67,6,0,70.59,1991
Hashan Tillakaratne,run out,4,30,40,0,0,13.33,1991
Sanath Jayasuriya,c DeFreitas b Illingworth,19,16,20,2,0,118.75,1991
Graeme Labrooy,c Smith b Illingworth,19,34,42,1,0,55.88,1991
Champaka Ramanayake,c & b Reeve,12,38,35,0,0,31.58,1991
Don Anurasiri,lbw b Reeve,11,19,17,0,0,57.89,1991
Pramodya Wickramasinghe,not out,6,16,14,0,0,37.5,1991
Andrew Hudson,c Ijaz Ahmed b Imran Khan,54,77,97,8,0,70.13,1991
Kepler Wessels,c Moin Khan b Aaqib Javed,7,24,32,0,0,29.17,1991
Mark Rushmere,c Aamer Sohail b Mushtaq Ahmed,35,70,86,2,0,50.0,1991
Adrian Kuiper,c Moin Khan b Imran Khan,5,12,13,0,0,41.67,1991
Jonty Rhodes,lbw b Iqbal Sikander,5,17,25,0,0,29.41,1991
Hansie Cronje,not out,47,53,78,4,0,88.68,1991
Brian McMillan,b Wasim Akram,33,42,47,1,0,78.57,1991
David Richardson,b Wasim Akram,5,10,9,0,0,50.0,1991
Richard Snell,not out,1,1,2,0,0,100.0,1991
Aamer Sohail,b Snell,23,47,61,2,0,48.94,1991
Zahid Fazal,c Richardson b McMillan,11,41,63,1,0,26.83,1991
Inzamam-ul-Haq,run out (Rhodes),48,44,70,5,0,109.09,1991
Imran Khan,c Richardson b McMillan,34,52,70,5,0,65.38,1991
Saleem Malik,c Donald b Kuiper,12,11,15,0,0,109.09,1991
Wasim Akram,c Snell b Kuiper,9,7,15,1,0,128.57,1991
Ijaz Ahmed,c Rhodes b Kuiper,6,3,4,1,0,200.0,1991
Moin Khan,not out,5,5,11,0,0,100.0,1991
Mushtaq Ahmed,run out (McMillan/Richardson),4,4,5,0,0,100.0,1991
Iqbal Sikander,not out,1,3,2,0,0,33.33,1991
Desmond Haynes,c & b Harris,22,61,74,0,1,36.07,1991
Brian Lara,c Rutherford b Larsen,52,81,104,0,0,64.2,1991
Sir Richie Richardson,c Smith b Watson,29,54,68,1,0,53.7,1991
Carl Hooper,c Greatbatch b Patel,2,9,10,0,0,22.22,1991
Keith Arthurton,b Morrison,40,54,77,3,0,74.07,1991
Gus Logie,b Harris,3,4,4,0,0,75.0,1991
Malcolm Marshall,b Larsen,5,14,19,0,0,35.71,1991
David Williams,not out,32,24,26,5,0,133.33,1991
Winston Benjamin,not out,2,1,1,0,0,200.0,1991
Mark Greatbatch,c Haynes b Benjamin,63,77,102,7,3,81.82,1991
Rod Latham,c Williams b Cummins,14,27,51,1,0,51.85,1991
Andrew Jones,c Williams b Benjamin,10,35,42,0,0,28.57,1991
Martin Crowe,not out,81,81,105,12,0,100.0,1991
Ken Rutherford,c Williams b Ambrose,8,32,32,1,0,25.0,1991
Chris Harris,c Williams b Cummins,7,23,36,0,0,30.43,1991
Dipak Patel,not out,10,18,27,0,0,55.56,1991
Roshan Mahanama,run out (Jones/McDermott),7,10,9,1,0,70.0,1991
Athula Samarasekera,c Healy b Taylor,34,63,87,3,0,53.97,1991
Asanka Gurusinha,lbw b Whitney,5,23,30,1,0,21.74,1991
Aravinda de Silva,c Moody b McDermott,62,83,133,2,0,74.7,1991
Arjuna Ranatunga,c Jones b Taylor,23,52,48,0,0,44.23,1991
Sanath Jayasuriya,lbw b Border,15,29,25,1,0,51.72,1991
Hashan Tillakaratne,run out (ME Waugh/Healy),5,13,17,0,0,38.46,1991
Ruwan Kalpage,run out (SR Waugh/ME Waugh),14,15,25,1,0,93.33,1991
Champaka Ramanayake,run out (ME Waugh),5,10,12,0,0,50.0,1991
Don Anurasiri,not out,4,4,6,0,0,100.0,1991
Tom Moody,c Mahanama b Wickramasinghe,57,86,115,4,0,66.28,1991
Geoff Marsh,c Anurasiri b Kalpage,60,113,127,3,1,53.1,1991
Mark Waugh,c Mahanama b Wickramasinghe,26,27,39,1,0,96.3,1991
David Boon,not out,27,36,44,0,2,75.0,1991
Dean Jones,not out,12,8,16,0,1,150.0,1991
Kris Srikkanth,b Burmester,32,32,50,5,0,100.0,1991
Kapil Dev,lbw b Brandes,10,14,19,0,1,71.43,1991
Mohammad Azharuddin,c Flower b Burmester,12,15,14,2,0,80.0,1991
Sachin Tendulkar,c Campbell b Burmester,81,77,88,8,1,105.19,1991
Sanjay Manjrekar,c Duers b Traicos,34,34,57,2,0,100.0,1991
Vinod Kambli,b Traicos,1,2,2,0,0,50.0,1991
Ajay Jadeja,c Omarshah b Traicos,6,6,8,0,0,100.0,1991
Kiran More,not out,15,8,9,0,1,187.5,1991
Javagal Srinath,not out,6,4,6,1,0,150.0,1991
Ali Shah,b Tendulkar,31,51,55,3,0,60.78,1991
Andy Flower,not out,43,56,66,3,0,76.79,1991
Andy Waller,not out,13,7,10,2,0,185.71,1991
Tom Moody,b Tufnell,51,88,131,3,0,57.95,1991
Mark Taylor,lbw b Pringle,0,11,11,0,0,0.0,1991
David Boon,run out (Fairbrother),18,27,29,2,0,66.67,1991
Dean Jones,c Lewis b DeFreitas,22,49,78,2,0,44.9,1991
Steve Waugh,run out (DeFreitas/Stewart),27,43,65,2,0,62.79,1991
Allan Border,b Botham,16,22,30,1,0,72.73,1991
Ian Healy,c Fairbrother b Botham,9,7,6,0,1,128.57,1991
Peter Taylor,lbw b Botham,0,2,2,0,0,0.0,1991
Craig McDermott,c DeFreitas b Botham,0,2,1,0,0,0.0,1991
Mike Whitney,not out,8,27,33,1,0,29.63,1991
Bruce Reid,b Reeve,1,21,21,0,0,4.76,1991
Graham Gooch,b Waugh,58,112,157,7,0,51.79,1991
Sir Ian Botham,c Healy b Whitney,53,77,103,6,0,68.83,1991
Robin Smith,not out,30,58,66,5,0,51.72,1991
Graeme Hick,not out,7,5,13,1,0,140.0,1991
Andrew Hudson,c Lara b Cummins,22,60,67,3,0,36.67,1991
Kepler Wessels,c Haynes b Marshall,1,9,11,0,0,11.11,1991
Peter Kirsten,c Williams b Marshall,56,91,124,2,0,61.54,1991
Mark Rushmere,st Williams b Hooper,10,24,24,0,0,41.67,1991
Adrian Kuiper,b Ambrose,23,29,31,0,1,79.31,1991
Jonty Rhodes,c Williams b Cummins,22,27,33,0,0,81.48,1991
Brian McMillan,c Lara b Benjamin,20,29,44,2,0,68.97,1991
David Richardson,not out,20,26,41,1,0,76.92,1991
Richard Snell,c Haynes b Ambrose,3,6,5,0,0,50.0,1991
Meyrick Pringle,not out,5,6,12,0,0,83.33,1991
Desmond Haynes,c DJ Richardson b Kuiper,30,83,113,3,0,36.14,1991
Brian Lara,c Rhodes b Pringle,9,13,14,2,0,69.23,1991
Sir Richie Richardson,lbw b Pringle,1,3,7,0,0,33.33,1991
Carl Hooper,c Wessels b Pringle,0,4,3,0,0,0.0,1991
Keith Arthurton,c Wessels b Pringle,0,4,6,0,0,0.0,1991
Gus Logie,c Pringle b Kuiper,61,69,102,9,1,88.41,1991
Malcolm Marshall,c Rhodes b Snell,6,10,14,1,0,60.0,1991
David Williams,c DJ Richardson b Snell,0,3,2,0,0,0.0,1991
Sir Curtly Ambrose,run out,12,15,24,2,0,80.0,1991
Anderson Cummins,c McMillan b Donald,6,24,30,0,0,25.0,1991
Winston Benjamin,not out,1,4,9,0,0,25.0,1991
Ajay Jadeja,c Zahid Fazal b Wasim Haider,46,77,118,2,0,59.74,1991
Kris Srikkanth,c Moin Khan b Aaqib Javed,5,39,41,0,0,12.82,1991
Mohammad Azharuddin,c Moin Khan b Mushtaq Ahmed,32,48,61,4,0,66.67,1991
Vinod Kambli,c Inzamam-ul-Haq b Mushtaq Ahmed,24,41,60,0,0,58.54,1991
Sachin Tendulkar,not out,54,62,91,3,0,87.1,1991
Sanjay Manjrekar,b Mushtaq Ahmed,0,1,2,0,0,0.0,1991
Kapil Dev,c Imran Khan b Aaqib Javed,35,26,34,2,1,134.62,1991
Kiran More,run out (Wasim Akram),4,4,3,0,0,100.0,1991
Manoj Prabhakar,not out,2,1,2,0,0,200.0,1991
Aamer Sohail,c Srikkanth b Tendulkar,62,95,118,6,0,65.26,1991
Inzamam-ul-Haq,lbw b Kapil Dev,2,6,9,0,0,33.33,1991
Zahid Fazal,c More b Prabhakar,2,9,14,0,0,22.22,1991
Javed Miandad,b Srinath,40,110,132,2,0,36.36,1991
Saleem Malik,c More b Prabhakar,12,9,12,2,0,133.33,1991
Imran Khan,run out (More/Raju),0,5,12,0,0,0.0,1991
Wasim Akram,st More b Raju,4,8,9,0,0,50.0,1991
Wasim Haider,b Srinath,13,24,41,0,0,54.17,1991
Moin Khan,c Manjrekar b Kapil Dev,12,12,16,1,0,100.0,1991
Mushtaq Ahmed,run out (Azharuddin/Kapil Dev),3,4,5,0,0,75.0,1991
Aaqib Javed,not out,1,12,15,0,0,8.33,1991
Mark Greatbatch,b Duers,15,16,27,2,0,93.75,1991
Rod Latham,b Brandes,2,6,10,0,0,33.33,1991
Andrew Jones,c Waller b Butchart,57,58,76,9,0,98.28,1991
Martin Crowe,not out,74,43,64,8,2,172.09,1991
Chris Cairns,not out,1,2,4,0,0,50.0,1991
Andy Flower,b Larsen,30,28,45,5,0,107.14,1991
Andy Waller,b Morrison,11,11,14,1,1,100.0,1991
Dave Houghton,b Larsen,10,14,19,2,0,71.43,1991
Iain Butchart,c Cairns b Larsen,3,7,9,0,0,42.86,1991
Eddo Brandes,b Harris,6,9,9,0,0,66.67,1991
Andy Pycroft,not out,13,20,25,0,0,65.0,1991
Alistair Campbell,c Crowe b Harris,8,10,6,1,0,80.0,1991
Ali Shah,b Harris,7,7,5,1,0,100.0,1991
Mark Burmester,not out,4,3,3,0,0,133.33,1991
Kepler Wessels,c & b Ranatunga,40,94,130,0,0,42.55,1991
Adrian Kuiper,b Anurasiri,18,44,53,3,0,40.91,1991
Peter Kirsten,c Hathurusingha b Kalpage,47,81,74,5,1,58.02,1991
Jonty Rhodes,c Jayasuriya b Wickramasinghe,28,21,27,2,0,133.33,1991
Mark Rushmere,c Jayasuriya b Ranatunga,4,9,7,0,0,44.44,1991
Hansie Cronje,st Tillakaratne b Anurasiri,3,6,10,0,0,50.0,1991
Richard Snell,b Anurasiri,9,5,10,2,0,180.0,1991
Brian McMillan,not out,18,22,35,0,0,81.82,1991
David Richardson,run out,0,0,1,0,0,0.0,1991
Omar Henry,c Kalpage b Ramanayake,11,13,17,1,0,84.62,1991
Allan Donald,run out,3,6,9,0,0,50.0,1991
Roshan Mahanama,c Richardson b McMillan,68,121,181,6,0,56.2,1991
Chandika Hathurusingha,c Wessels b Donald,5,9,10,1,0,55.56,1991
Asanka Gurusinha,lbw b Donald,0,4,7,0,0,0.0,1991
Aravinda de Silva,b Donald,7,16,27,1,0,43.75,1991
Hashan Tillakaratne,c Rushmere b Henry,17,63,75,0,0,26.98,1991
Arjuna Ranatunga,not out,64,73,96,6,0,87.67,1991
Sanath Jayasuriya,st Richardson b Kirsten,3,7,11,0,0,42.86,1991
Ruwan Kalpage,run out (Richardson/Kirsten),5,11,21,0,0,45.45,1991
Champaka Ramanayake,not out,4,2,3,1,0,200.0,1991
Ramiz Raja,c Reeve b DeFreitas,1,10,13,0,0,10.0,1991
Aamer Sohail,c & b Pringle,9,39,52,0,0,23.08,1991
Inzamam-ul-Haq,c Stewart b DeFreitas,0,1,1,0,0,0.0,1991
Javed Miandad,b Pringle,3,22,29,0,0,13.64,1991
Saleem Malik,c Reeve b Botham,17,20,45,3,0,85.0,1991
Ijaz Ahmed,c Stewart b Small,0,15,16,0,0,0.0,1991
Wasim Akram,b Botham,1,13,12,0,0,7.69,1991
Moin Khan,c Hick b Small,2,14,25,0,0,14.29,1991
Wasim Haider,c Stewart b Reeve,13,46,46,1,0,28.26,1991
Mushtaq Ahmed,c Reeve b Pringle,17,42,54,1,0,40.48,1991
Aaqib Javed,not out,1,21,24,0,0,4.76,1991
Graham Gooch,c Moin Khan b Wasim Akram,3,14,24,0,0,21.43,1991
Sir Ian Botham,not out,6,22,42,0,0,27.27,1991
Robin Smith,not out,5,13,17,1,0,38.46,1991
Mark Taylor,c More b Kapil Dev,13,20,18,0,0,65.0,1991
Geoff Marsh,b Kapil Dev,8,28,41,1,0,28.57,1991
David Boon,c Shastri b Raju,43,60,76,4,0,71.67,1991
Dean Jones,c & b Prabhakar,90,108,145,6,2,83.33,1991
Steve Waugh,b Srinath,29,48,48,1,0,60.42,1991
Tom Moody,b Prabhakar,25,23,28,3,0,108.7,1991
Allan Border,c Jadeja b Kapil Dev,10,10,17,0,0,100.0,1991
Craig McDermott,c Jadeja b Prabhakar,2,5,6,0,0,40.0,1991
Peter Taylor,run out,1,1,6,0,0,100.0,1991
Merv Hughes,not out,0,4,3,0,0,0.0,1991
Ravi Shastri,c Waugh b Moody,25,67,75,1,0,37.31,1991
Kris Srikkanth,b McDermott,0,10,13,0,0,0.0,1991
Mohammad Azharuddin,run out (Border),93,102,147,10,0,91.18,1991
Sachin Tendulkar,c Waugh b Moody,11,19,19,1,0,57.89,1991
Kapil Dev,lbw b Waugh,21,21,26,3,0,100.0,1991
Sanjay Manjrekar,run out (McDermott/Boon),47,42,50,3,1,111.9,1991
Ajay Jadeja,b Hughes,1,4,5,0,0,25.0,1991
Kiran More,b Moody,14,8,13,2,0,175.0,1991
Javagal Srinath,not out,8,8,11,0,0,100.0,1991
Manoj Prabhakar,run out (Border/Moody),1,1,1,0,0,100.0,1991
Venkatapathy Raju,run out (Waugh/Boon),0,0,1,0,0,0.0,1991
Phil Simmons,b Brandes,21,45,60,3,0,46.67,1991
Brian Lara,c Houghton b Omarshah,72,71,86,12,0,101.41,1991
Sir Richie Richardson,c Brandes b Jarvis,56,76,102,2,2,73.68,1991
Carl Hooper,c Pycroft b Traicos,63,67,72,5,1,94.03,1991
Keith Arthurton,b Duers,26,18,28,2,2,144.44,1991
Gus Logie,run out,5,6,7,0,0,83.33,1991
Malcolm Marshall,c Houghton b Brandes,2,10,11,0,0,20.0,1991
David Williams,not out,8,6,10,1,0,133.33,1991
Winston Benjamin,b Brandes,1,4,5,0,0,25.0,1991
Kevin Arnott,retired hurt,16,36,55,1,0,44.44,1991
Andy Flower,b Patterson,6,20,23,0,0,30.0,1991
Andy Pycroft,c Williams b Benjamin,10,24,26,0,0,41.67,1991
Dave Houghton,c Patterson b Hooper,55,88,94,3,0,62.5,1991
Andy Waller,c Simmons b Benjamin,0,9,13,0,0,0.0,1991
Alistair Campbell,c Richardson b Hooper,1,18,27,0,0,5.56,1991
Ali Shah,not out,60,87,93,4,0,68.97,1991
Eddo Brandes,c & b Benjamin,6,9,16,0,0,66.67,1991
John Traicos,run out,8,19,21,0,0,42.11,1991
Malcolm Jarvis,not out,5,4,6,1,0,125.0,1991
Kepler Wessels,c Smith b Watson,3,18,22,0,0,16.67,1991
Andrew Hudson,b Patel,1,16,18,0,0,6.25,1991
Peter Kirsten,c Cairns b Watson,90,129,156,10,0,69.77,1991
Hansie Cronje,c Smith b Harris,7,22,30,0,0,31.82,1991
David Richardson,c Larsen b Cairns,28,53,69,1,0,52.83,1991
Adrian Kuiper,run out,2,2,2,0,0,100.0,1991
Jonty Rhodes,c Crowe b Cairns,6,14,17,0,0,42.86,1991
Brian McMillan,not out,33,40,44,1,0,82.5,1991
Richard Snell,not out,11,8,13,1,0,137.5,1991
Mark Greatbatch,b Kirsten,68,60,80,9,2,113.33,1991
Rod Latham,c Wessels b Snell,60,69,117,7,0,86.96,1991
Andrew Jones,not out,34,63,64,4,0,53.97,1991
Ian Smith,c Kirsten b Donald,19,8,9,4,0,237.5,1991
Martin Crowe,not out,3,9,17,0,0,33.33,1991
Kris Srikkanth,not out,1,2,2,0,0,50.0,1991
Kapil Dev,not out,0,0,2,0,0,0.0,1991
Desmond Haynes,c Fairbrother b DeFreitas,38,68,85,5,0,55.88,1991
Brian Lara,c Stewart b Lewis,0,2,6,0,0,0.0,1991
Sir Richie Richardson,c Botham b Lewis,5,17,27,1,0,29.41,1991
Carl Hooper,c Reeve b Botham,5,20,26,0,0,25.0,1991
Keith Arthurton,c Fairbrother b DeFreitas,54,101,130,2,2,53.47,1991
Gus Logie,run out,20,27,42,0,1,74.07,1991
Roger Harper,c Hick b Reeve,3,14,20,0,0,21.43,1991
Malcolm Marshall,run out,3,8,13,0,0,37.5,1991
David Williams,c Pringle b DeFreitas,6,19,19,0,0,31.58,1991
Sir Curtly Ambrose,c DeFreitas b Lewis,4,6,23,0,0,66.67,1991
Winston Benjamin,not out,11,15,14,1,0,73.33,1991
Graham Gooch,st Williams b Hooper,65,101,130,7,0,64.36,1991
Sir Ian Botham,c Williams b Benjamin,8,28,56,0,0,28.57,1991
Robin Smith,c Logie b Benjamin,8,28,29,1,0,28.57,1991
Graeme Hick,c & b Harper,54,55,73,3,1,98.18,1991
Neil Fairbrother,not out,13,28,33,1,0,46.43,1991
Alec Stewart,not out,0,1,3,0,0,0.0,1991
Ramiz Raja,c Flower b Jarvis,9,16,25,1,0,56.25,1991
Aamer Sohail,c Pycroft b Butchart,114,136,178,12,0,83.82,1991
Inzamam-ul-Haq,c Brandes b Butchart,14,43,49,0,0,32.56,1991
Javed Miandad,lbw b Butchart,89,94,125,5,0,94.68,1991
Saleem Malik,not out,14,12,24,0,0,116.67,1991
Wasim Akram,not out,1,1,1,0,0,100.0,1991
Kevin Arnott,c Wasim Akram b Iqbal Sikander,7,61,69,0,0,11.48,1991
Andy Flower,c Inzamam-ul-Haq b Wasim Akram,6,21,34,0,0,28.57,1991
Andy Pycroft,b Wasim Akram,0,4,3,0,0,0.0,1991
Dave Houghton,c Ramiz Raja b Aamer Sohail,44,82,92,3,0,53.66,1991
Ali Shah,b Aamer Sohail,33,58,55,2,0,56.9,1991
Andy Waller,b Wasim Akram,44,36,53,3,1,122.22,1991
Iain Butchart,c Javed Miandad b Aaqib Javed,33,27,42,4,0,122.22,1991
Eddo Brandes,not out,2,3,12,0,0,66.67,1991
John Traicos,not out,8,7,7,0,0,114.29,1991
Geoff Marsh,c Richardson b Kuiper,25,72,89,1,0,34.72,1991
David Boon,run out (Snell/Cronje),27,32,31,4,0,84.38,1991
Dean Jones,c Richardson b McMillan,24,51,79,1,0,47.06,1991
Allan Border,b Kuiper,0,1,1,0,0,0.0,1991
Tom Moody,lbw b Donald,10,33,47,0,0,30.3,1991
Steve Waugh,c Cronje b McMillan,27,51,58,1,0,52.94,1991
Ian Healy,c McMillan b Donald,16,24,34,2,0,66.67,1991
Peter Taylor,b Donald,4,9,18,0,0,44.44,1991
Craig McDermott,run out (Rhodes/Snell),6,12,20,0,0,50.0,1991
Mike Whitney,not out,9,15,19,1,0,60.0,1991
Bruce Reid,not out,5,10,13,0,0,50.0,1991
Kepler Wessels,not out,81,148,173,9,0,54.73,1991
Andrew Hudson,b Taylor,28,52,81,3,0,53.85,1991
Peter Kirsten,not out,49,88,91,1,0,55.68,1991
Roshan Mahanama,c & b Harris,80,131,175,6,0,61.07,1991
Athula Samarasekera,c Wright b Watson,9,20,25,1,0,45.0,1991
Asanka Gurusinha,c Smith b Harris,9,33,41,0,0,27.27,1991
Aravinda de Silva,run out,31,45,61,2,0,68.89,1991
Arjuna Ranatunga,c Rutherford b Harris,20,26,40,2,0,76.92,1991
Sanath Jayasuriya,run out,5,7,10,0,0,71.43,1991
Hashan Tillakaratne,c Crowe b Watson,8,19,21,0,0,42.11,1991
Ruwan Kalpage,c Larsen b Watson,11,17,20,0,0,64.71,1991
Champaka Ramanayake,run out,2,1,2,0,0,200.0,1991
Don Anurasiri,not out,3,2,7,0,0,150.0,1991
Pramodya Wickramasinghe,not out,3,4,2,0,0,75.0,1991
John Wright,c & b Kalpage,57,76,89,9,0,75.0,1991
Rod Latham,b Kalpage,20,41,72,3,0,48.78,1991
Andrew Jones,c Jayasuriya b Gurusinha,49,77,106,4,0,63.64,1991
Martin Crowe,c Ramanayake b Wickramasinghe,5,23,25,0,0,21.74,1991
Ken Rutherford,not out,65,71,79,6,1,91.55,1991
Chris Harris,not out,5,5,13,0,0,100.0,1991
Ramiz Raja,not out,102,158,181,4,0,64.56,1991
Aamer Sohail,c Logie b Benjamin,23,44,53,3,0,52.27,1991
Inzamam-ul-Haq,c Hooper b Harper,27,39,46,0,0,69.23,1991
Javed Miandad,not out,57,61,80,5,0,93.44,1991
Desmond Haynes,not out,93,144,192,7,0,64.58,1991
Brian Lara,retired hurt,88,101,150,11,0,87.13,1991
Sir Richie Richardson,not out,20,40,41,1,0,50.0,1991
Andy Flower,not out,115,152,215,8,1,75.66,1991
Wayne James,c Tillakaratne b Wickramasinghe,17,21,31,3,0,80.95,1991
Andy Pycroft,c Ramanayake b Gurusinha,5,22,31,0,0,22.73,1991
Dave Houghton,c Tillakaratne b Gurusinha,10,19,23,1,0,52.63,1991
Kevin Arnott,c Tillakaratne b Wickramasinghe,52,56,66,4,1,92.86,1991
Andy Waller,not out,83,45,57,9,3,184.44,1991
Roshan Mahanama,c Arnott b Brandes,59,89,100,4,0,66.29,1991
Athula Samarasekera,c Duers b Traicos,75,61,81,11,1,122.95,1991
Aravinda de Silva,c Houghton b Brandes,14,28,40,1,0,50.0,1991
Asanka Gurusinha,run out,5,6,9,0,0,83.33,1991
Arjuna Ranatunga,not out,88,61,117,9,1,144.26,1991
Sanath Jayasuriya,c Flower b Houghton,32,23,24,2,2,139.13,1991
Hashan Tillakaratne,b Jarvis,18,12,25,1,1,150.0,1991
Ruwan Kalpage,c Houghton b Brandes,11,14,19,1,0,78.57,1991
Champaka Ramanayake,not out,1,1,2,0,0,100.0,1991
Graham Gooch,c Tendulkar b Shastri,51,89,121,1,0,57.3,1991
Sir Ian Botham,c More b Kapil Dev,9,21,33,1,0,42.86,1991
Robin Smith,c Azharuddin b Prabhakar,91,108,145,8,2,84.26,1991
Graeme Hick,c More b Banerjee,5,6,5,1,0,83.33,1991
Neil Fairbrother,c Srikkanth b Srinath,24,34,47,1,0,70.59,1991
Alec Stewart,b Prabhakar,13,15,22,1,0,86.67,1991
Chris Lewis,c Banerjee b Kapil Dev,10,6,10,1,0,166.67,1991
Derek Pringle,c Srikkanth b Srinath,1,3,4,0,0,33.33,1991
Dermot Reeve,not out,8,8,14,0,0,100.0,1991
Phil DeFreitas,run out,1,5,2,0,0,20.0,1991
Phil Tufnell,not out,3,5,7,0,0,60.0,1991
Ravi Shastri,run out,57,112,151,2,0,50.89,1991
Kris Srikkanth,c Botham b DeFreitas,39,50,63,7,0,78.0,1991
Mohammad Azharuddin,c Stewart b Reeve,0,1,2,0,0,0.0,1991
Sachin Tendulkar,c Stewart b Botham,35,44,51,5,0,79.55,1991
Vinod Kambli,c Hick b Botham,3,11,16,0,0,27.27,1991
Pravin Amre,run out,22,31,44,0,0,70.97,1991
Kapil Dev,c DeFreitas b Reeve,17,18,24,2,0,94.44,1991
Subroto Banerjee,not out,25,16,28,1,1,156.25,1991
Kiran More,run out,1,4,6,0,0,25.0,1991
Manoj Prabhakar,b Reeve,0,2,1,0,0,0.0,1991
Javagal Srinath,run out,11,8,10,0,0,137.5,1991
John Wright,b McDermott,0,1,3,0,0,0.0,1991
Rod Latham,c Healy b Moody,26,44,65,4,0,59.09,1991
Andrew Jones,lbw b Reid,4,14,16,1,0,28.57,1991
Martin Crowe,not out,100,134,180,11,0,74.63,1991
Ken Rutherford,run out (ME Waugh),57,71,88,6,0,80.28,1991
Chris Harris,run out (Border),14,15,14,2,0,93.33,1991
Ian Smith,c Healy b McDermott,14,14,15,1,0,100.0,1991
Chris Cairns,not out,16,11,15,2,0,145.45,1991
David Boon,run out (Harris),100,133,176,11,0,75.19,1991
Geoff Marsh,c Latham b Larsen,19,56,60,2,0,33.93,1991
Dean Jones,run out (Cairns),21,27,28,3,0,77.78,1991
Allan Border,c Cairns b Patel,3,9,13,0,0,33.33,1991
Tom Moody,c & b Latham,7,11,10,0,0,63.64,1991
Mark Waugh,lbw b Larsen,2,5,9,0,0,40.0,1991
Steve Waugh,c & b Larsen,38,34,48,3,1,111.76,1991
Ian Healy,not out,7,9,16,0,0,77.78,1991
Craig McDermott,run out (Harris),1,1,4,0,0,100.0,1991
Peter Taylor,c Rutherford b Watson,1,2,3,0,0,50.0,1991
Bruce Reid,c AH Jones b Harris,3,4,4,0,0,75.0,1991
Mark Taylor,c Jayasuriya b de Silva,74,83,109,8,1,89.16,1995
Mark Waugh,c Jayasuriya b Vaas,12,15,29,1,0,80.0,1995
Ricky Ponting,b de Silva,45,73,90,2,0,61.64,1995
Steve Waugh,c de Silva b Dharmasena,13,25,32,0,0,52.0,1995
Shane Warne,st Kaluwitharana b Muralitharan,2,5,4,0,0,40.0,1995
Stuart Law,c de Silva b Jayasuriya,22,30,43,0,1,73.33,1995
Michael Bevan,not out,36,49,58,2,0,73.47,1995
Ian Healy,b de Silva,2,3,2,0,0,66.67,1995
Paul Reiffel,not out,13,18,21,0,0,72.22,1995
Sanath Jayasuriya,run out,9,7,9,1,0,128.57,1995
Romesh Kaluwitharana,c Bevan b Fleming,6,13,27,0,0,46.15,1995
Asanka Gurusinha,b Reiffel,65,99,119,6,1,65.66,1995
Aravinda de Silva,not out,107,124,176,13,0,86.29,1995
Arjuna Ranatunga,not out,47,37,72,4,1,127.03,1995
Mark Waugh,lbw b Ambrose,0,2,2,0,0,0.0,1995
Mark Taylor,b Bishop,1,11,16,0,0,9.09,1995
Ricky Ponting,lbw b Ambrose,0,15,18,0,0,0.0,1995
Steve Waugh,b Bishop,3,18,22,0,0,16.67,1995
Stuart Law,run out (Ambrose/Adams),72,105,152,5,0,68.57,1995
Michael Bevan,c Richardson b Harper,69,110,146,4,1,62.73,1995
Ian Healy,run out (Adams/Browne),31,28,36,2,0,110.71,1995
Paul Reiffel,run out (Walsh),7,11,10,0,0,63.64,1995
Shane Warne,not out,6,6,10,0,0,100.0,1995
Shivnarine Chanderpaul,c Fleming b McGrath,80,126,172,7,0,63.49,1995
Courtney Browne,c & b Warne,10,18,26,0,0,55.56,1995
Brian Lara,b SR Waugh,45,45,69,4,0,100.0,1995
Sir Richie Richardson,not out,49,83,123,4,0,59.04,1995
Roger Harper,lbw b McGrath,2,5,8,0,0,40.0,1995
Ottis Gibson,c Healy b Warne,1,2,3,0,0,50.0,1995
Jimmy Adams,lbw b Warne,2,11,10,0,0,18.18,1995
Keith Arthurton,c Healy b Fleming,0,4,5,0,0,0.0,1995
Ian Bishop,lbw b Warne,3,3,2,0,0,100.0,1995
Sir Curtly Ambrose,run out (Healy),2,2,4,0,0,100.0,1995
Courtney Walsh,b Fleming,0,1,1,0,0,0.0,1995
Sanath Jayasuriya,c Prasad b Srinath,1,3,4,0,0,33.33,1995
Romesh Kaluwitharana,c Manjrekar b Srinath,0,1,1,0,0,0.0,1995
Asanka Gurusinha,c Kumble b Srinath,1,16,29,0,0,6.25,1995
Aravinda de Silva,b Kumble,66,47,63,14,0,140.43,1995
Roshan Mahanama,retired hurt,58,101,126,6,0,57.43,1995
Arjuna Ranatunga,lbw b Tendulkar,35,42,72,4,0,83.33,1995
Hashan Tillakaratne,c Tendulkar b Prasad,32,43,51,1,0,74.42,1995
Kumar Dharmasena,b Tendulkar,9,20,21,0,0,45.0,1995
Chaminda Vaas,run out (Azharuddin),23,16,19,3,0,143.75,1995
Pramodya Wickramasinghe,not out,4,9,10,0,0,44.44,1995
Muttiah Muralitharan,not out,5,4,4,0,0,125.0,1995
Sachin Tendulkar,st Kaluwitharana b Jayasuriya,65,88,96,9,0,73.86,1995
Navjot Sidhu,c Jayasuriya b Vaas,3,8,7,0,0,37.5,1995
