Batsman,Dismissal,Runs,Balls,Minutes,4s,6s,StrikeRate,Year
Desmond Haynes,b Abdul Qadir,29,58,0,0,0,50.0,1983
Sir Viv Richards,not out,80,96,0,11,1,83.33,1983
Larry Gomes,not out,50,100,0,3,0,50.0,1983
Graeme Fowler,b Binny,33,59,93,3,0,55.93,1983
Chris Tavare,c Kirmani b Binny,32,51,70,4,0,62.75,1983
David Gower,c Kirmani b Amarnath,17,30,51,1,0,56.67,1983
Allan Lamb,run out (Yashpal Sharma),29,58,64,1,0,50.0,1983
Mike Gatting,b Amarnath,18,46,45,1,0,39.13,1983
Sir Ian Botham,b Azad,6,26,28,0,0,23.08,1983
Ian Gould,run out (Kirmani),13,36,43,0,0,36.11,1983
Vic Marks,b Kapil Dev,8,18,31,0,0,44.44,1983
Graham Dilley,not out,20,26,34,2,0,76.92,1983
Paul Allott,c Patil b Kapil Dev,8,14,22,0,0,57.14,1983
Bob Willis,b Kapil Dev,0,2,3,0,0,0.0,1983
Sunil Gavaskar,c Gould b Allott,25,41,58,3,0,60.98,1983
Kris Srikkanth,c Willis b Botham,19,44,66,3,0,43.18,1983
Mohinder Amarnath,run out (Allott/Botham),46,92,110,4,1,50.0,1983
Yashpal Sharma,c Allott b Willis,61,115,143,3,2,53.04,1983
Sandeep Patil,not out,51,32,49,8,0,159.38,1983
Kapil Dev,not out,1,6,10,0,0,16.67,1983
Robin Brown,c Lloyd b Marshall,14,69,0,0,0,20.29,1983
Grant Paterson,c Richards b Garner,6,28,0,1,0,21.43,1983
Jack Heron,c Dujon b Garner,0,1,0,0,0,0.0,1983
Andy Pycroft,c Dujon b Marshall,4,39,0,0,0,10.26,1983
Dave Houghton,c Lloyd b Daniel,0,3,0,0,0,0.0,1983
Duncan Fletcher,b Richards,23,51,0,2,0,45.1,1983
Kevin Curran,b Daniel,62,92,0,4,1,67.39,1983
Iain Butchart,c Haynes b Richards,8,27,0,0,0,29.63,1983
Gerald Peckover,c & b Richards,3,15,0,0,0,20.0,1983
Peter Rawson,b Daniel,19,40,0,1,0,47.5,1983
John Traicos,not out,1,2,0,0,0,50.0,1983
Desmond Haynes,not out,88,136,0,9,0,64.71,1983
Faoud Bacchus,not out,80,135,0,8,0,59.26,1983
Sunil Gavaskar,c Chappell b Hogg,9,10,0,1,0,90.0,1983
Kris Srikkanth,c Border b Thomson,24,22,0,3,0,109.09,1983
Mohinder Amarnath,c Marsh b Thomson,13,20,0,2,0,65.0,1983
Yashpal Sharma,c Hogg b Hogan,40,40,0,1,0,100.0,1983
Sandeep Patil,c Hogan b MacLeay,30,25,0,4,0,120.0,1983
Kapil Dev,c Hookes b Hogg,28,32,0,3,0,87.5,1983
Kirti Azad,c Border b Lawson,15,18,0,1,0,83.33,1983
Roger Binny,run out,21,32,0,2,0,65.63,1983
Madan Lal,not out,12,15,0,0,0,80.0,1983
Syed Kirmani,lbw b Hogg,10,20,0,1,0,50.0,1983
Balwinder Sandhu,b Thomson,8,18,0,1,0,44.44,1983
Trevor Chappell,c Madan Lal b Sandhu,2,5,0,0,0,40.0,1983
Graeme Wood,c Kirmani b Binny,21,32,0,2,0,65.63,1983
Graham Yallop,c & b Binny,18,30,0,2,0,60.0,1983
David Hookes,b Binny,1,2,0,0,0,50.0,1983
Allan Border,b Madan Lal,36,49,0,5,0,73.47,1983
Rod Marsh,lbw b Madan Lal,0,2,0,0,0,0.0,1983
Ken MacLeay,c Gavaskar b Madan Lal,5,6,0,1,0,83.33,1983
Tom Hogan,c Srikkanth b Binny,8,10,0,2,0,80.0,1983
Geoff Lawson,b Sandhu,16,20,0,1,0,80.0,1983
Rodney Hogg,not out,8,12,0,1,0,66.67,1983
Jeff Thomson,b Madan Lal,0,5,0,0,0,0.0,1983
Mohsin Khan,c Cairns b Coney,33,64,0,3,0,51.56,1983
Mudassar Nazar,b Coney,15,60,0,0,0,25.0,1983
Javed Miandad,b Hadlee,25,45,0,1,0,55.56,1983
Zaheer Abbas,not out,103,121,0,6,0,85.12,1983
Imran Khan,not out,79,74,0,7,1,106.76,1983
Glenn Turner,c Wasim Bari b Sarfraz Nawaz,4,16,0,0,0,25.0,1983
John Wright,c Imran Khan b Abdul Qadir,19,57,0,1,0,33.33,1983
Geoff Howarth,c Javed Miandad b Zaheer Abbas,39,51,0,3,0,76.47,1983
Martin Crowe,b Mudassar Nazar,43,62,0,4,0,69.35,1983
Bruce Edgar,lbw b Shahid Mahboob,6,22,0,0,0,27.27,1983
Jeremy Coney,run out,51,78,0,3,0,65.38,1983
Sir Richard Hadlee,c Mohsin Khan b Mudassar Nazar,11,20,0,1,0,55.0,1983
Lance Cairns,c Imran Khan b Abdul Qadir,0,3,0,0,0,0.0,1983
Warren Lees,c sub (Mansoor Akhtar) b Mudassar Nazar,26,25,0,4,0,104.0,1983
John Bracewell,c Mohsin Khan b Sarfraz Nawaz,34,24,0,7,0,141.67,1983
Ewen Chatfield,not out,3,6,0,0,0,50.0,1983
Sidath Wettimuny,lbw b Botham,22,49,0,3,0,44.9,1983
Brendon Kuruppu,c Gatting b Willis,6,36,0,1,0,16.67,1983
Arjuna Ranatunga,c Lamb b Botham,0,6,0,0,0,0.0,1983
Roy Dias,c Gould b Cowans,7,24,0,1,0,29.17,1983
Duleep Mendis,b Allott,10,38,0,0,0,26.32,1983
Ranjan Madugalle,c Gould b Allott,0,16,0,0,0,0.0,1983
Somachandra De Silva,c Gower b Marks,15,36,0,1,0,41.67,1983
Guy de Alwis,c Marks b Cowans,19,20,0,2,1,95.0,1983
Ashantha de Mel,c Lamb b Marks,10,23,0,2,0,43.48,1983
Rumesh Ratnayake,not out,20,32,0,1,1,62.5,1983
Vinothen John,c Cowans b Allott,15,27,0,1,0,55.56,1983
Graeme Fowler,not out,81,77,0,11,0,105.19,1983
Chris Tavare,c de Alwis b de Mel,19,48,0,1,1,39.58,1983
David Gower,not out,27,24,0,3,0,112.5,1983
Sunil Gavaskar,lbw b Rawson,0,2,0,0,0,0.0,1983
Kris Srikkanth,c Butchart b Curran,0,13,0,0,0,0.0,1983
Mohinder Amarnath,c Houghton b Rawson,5,20,0,1,0,25.0,1983
Sandeep Patil,c Houghton b Curran,1,10,0,0,0,10.0,1983
Yashpal Sharma,c Houghton b Rawson,9,28,0,1,0,32.14,1983
Kapil Dev,not out,175,138,0,16,6,126.81,1983
Roger Binny,lbw b Traicos,22,48,0,2,0,45.83,1983
Ravi Shastri,c Pycroft b Fletcher,1,6,0,0,0,16.67,1983
Madan Lal,c Houghton b Curran,17,39,0,1,0,43.59,1983
Syed Kirmani,not out,24,56,0,2,0,42.86,1983
Robin Brown,run out,35,66,0,2,0,53.03,1983
Grant Paterson,lbw b Binny,23,35,0,4,0,65.71,1983
Jack Heron,run out,3,8,0,0,0,37.5,1983
Andy Pycroft,c Kirmani b Sandhu,6,15,0,0,0,40.0,1983
Dave Houghton,lbw b Madan Lal,17,35,0,2,0,48.57,1983
Duncan Fletcher,c Kapil Dev b Amarnath,13,23,0,0,0,56.52,1983
Kevin Curran,c Shastri b Madan Lal,73,93,0,8,0,78.49,1983
Iain Butchart,b Binny,18,43,0,1,0,41.86,1983
Gerald Peckover,c Yashpal Sharma b Madan Lal,14,18,0,0,0,77.78,1983
Peter Rawson,not out,2,6,0,0,0,33.33,1983
John Traicos,c & b Kapil Dev,3,7,0,0,0,42.86,1983
Graeme Wood,b Marshall,17,24,0,0,0,70.83,1983
Trevor Chappell,c Dujon b Marshall,5,14,0,1,0,35.71,1983
Kim Hughes,b Gomes,69,124,0,8,0,55.65,1983
David Hookes,c Greenidge b Davis,56,74,0,4,2,75.68,1983
Graham Yallop,not out,52,74,0,3,0,70.27,1983
Allan Border,c & b Gomes,11,24,0,1,0,45.83,1983
Rod Marsh,c Haynes b Holding,37,26,0,4,2,142.31,1983
Tom Hogan,not out,0,1,0,0,0,0.0,1983
Sir Gordon Greenidge,c Hughes b Hogg,90,140,0,8,0,64.29,1983
Desmond Haynes,b Hogan,33,46,0,3,0,71.74,1983
Sir Viv Richards,not out,95,117,0,9,3,81.2,1983
Larry Gomes,b Chappell,15,26,0,1,0,57.69,1983
