BATSMEN,,R,B,M,4s,6s,SR
Sachin Tendulkar,st Kaluwitharana b Jayasuriya,65,88,96,9,0,73.86
Navjot Sidhu,c Jayasuriya b Vaas,3,8,7,0,0,37.50
Sanjay Manjrekar,b Jayasuriya,25,48,105,1,0,52.08
Mohammad Azharuddin,c & b Dharmasena,0,6,3,0,0,0.00
Vinod Kambli,not out,10,29,49,0,0,34.48
Javagal Srinath,run out,6,6,8,1,0,100.00
Ajay Jadeja,b Jayasuriya,0,11,9,0,0,0.00
Nayan Mongia,c Jayasuriya b de Silva,1,8,10,0,0,12.50
Aashish Kapoor,c de Silva b Muralitharan,0,1,1,0,0,0.00
Anil Kumble,not out,0,0,1,0,0,0.00
