BATSMEN,,R,B,M,4s,6s,SR
Sanath Jayasuriya,c Prasad b Srinath,1,3,4,0,0,33.33
Romesh Kaluwitharana,c Manjrekar b Srinath,0,1,1,0,0,0.00
Asanka Gurusinha,c Kumble b Srinath,1,16,29,0,0,6.25
Aravinda de Silva,b Kumble,66,47,63,14,0,140.43
Roshan Mahanama,retired hurt,58,101,126,6,0,57.43
Arjuna Ranatunga,lbw b Tendulkar,35,42,72,4,0,83.33
Hashan Tillakaratne,c Tendulkar b Prasad,32,43,51,1,0,74.42
Kumar Dharmasena,b Tendulkar,9,20,21,0,0,45.00
Chaminda Vaas,run out (Azharuddin),23,16,19,3,0,143.75
Pramodya Wickramasinghe,not out,4,9,10,0,0,44.44
Muttiah Muralitharan,not out,5,4,4,0,0,125.00
