BATSMEN,,R,B,M,4s,6s,SR
Gary Kirsten,lbw b Wasim Akram,19,38,54,3,0,50.00
Herschelle Gibbs,c Ijaz Ahmed b Shoaib Akhtar,0,3,6,0,0,0.00
Hansie Cronje,c Saqlain Mushtaq b Shoaib Akhtar,4,15,20,1,0,26.67
Daryll Cullinan,c Saeed Anwar b Azhar Mahmood,18,42,56,2,0,42.86
Jacques Kallis,c Moin Khan b Saqlain Mushtaq,54,98,148,3,0,55.10
Jonty Rhodes,lbw b Azhar Mahmood,0,6,8,0,0,0.00
Shaun Pollock,c Inzamam-ul-Haq b Azhar Mahmood,30,45,70,3,0,66.67
Lance Klusener,not out,46,41,61,3,3,112.20
Mark Boucher,not out,12,15,22,0,1,80.00
