BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Dominic Cork,10,1,33,2,3.30,-,-,-,2,0
Phil DeFreitas,9.3,3,16,2,1.68,-,-,-,2,1
Darren Gough,8,3,23,1,2.88,-,-,-,0,0
Craig White,1.3,1,2,0,1.33,-,-,-,0,0
Neil Smith,9.3,2,29,3,3.05,-,-,-,0,0
Richard Illingworth,10,2,25,1,2.50,-,-,-,0,0
