BATSMEN,,R,B,M,4s,6s,SR
Desmond Chumney,c Sangakkara b Vaas,9,25,31,2,0,36.00
John Davison,c Sangakkara b Nissanka,0,4,7,0,0,0.00
Fazil Sattaur,lbw b Vaas,0,10,13,0,0,0.00
Ian Billcliff,lbw b Vaas,1,9,16,0,0,11.11
Nicholas de Groot,lbw b Nissanka,0,2,10,0,0,0.00
Joe Harris,hit wicket b Nissanka,9,13,17,2,0,69.23
Ishwar Maraj,lbw b Nissanka,0,1,1,0,0,0.00
Ashish Bagai,c Jayawardene b Fernando,6,25,40,0,0,24.00
Sanjayan Thuraisingam,lbw b Fernando,6,15,20,1,0,40.00
Austin Codrington,b Muralitharan,0,9,13,0,0,0.00
Barry Seebaran,not out,0,0,2,0,0,0.00
