BATSMEN,,R,B,M,4s,6s,SR
Nasser Hussain,c Boucher b Kallis,2,14,14,0,0,14.29
Alec Stewart,lbw b Kallis,0,1,4,0,0,0.00
Graeme Hick,c Gibbs b Elworthy,21,50,66,2,0,42.00
Graham Thorpe,lbw b Donald,14,29,43,1,0,48.28
Neil Fairbrother,lbw b Donald,21,44,107,1,0,47.73
Andrew Flintoff,c Rhodes b Donald,0,9,6,0,0,0.00
Mark Ealham,c Cullinan b Donald,5,17,23,1,0,29.41
Robert Croft,c Rhodes b Klusener,12,25,25,2,0,48.00
Darren Gough,c Cronje b Elworthy,10,34,29,1,0,29.41
Angus Fraser,c Kirsten b Pollock,3,18,22,0,0,16.67
Alan Mullally,not out,1,6,14,0,0,16.67
