BATSMEN,,R,B,M,4s,6s,SR
Majid Khan,c Kallicharran b Croft,81,124,175,7,0,65.32
Sadiq Mohammad,c Murray b Holding,2,7,15,0,0,28.57
Zaheer Abbas,c Murray b Croft,93,122,143,8,1,76.23
Haroon Rasheed,run out,15,22,40,1,0,68.18
Javed Miandad,lbw b Croft,0,1,1,0,0,0.00
Asif Iqbal,c Holding b Richards,17,20,15,1,0,85.00
Mudassar Nazar,c Kallicharran b Richards,2,9,10,0,0,22.22
Imran Khan,c & b Richards,6,4,9,1,0,150.00
Sarfraz Nawaz,c Haynes b Roberts,12,15,16,0,0,80.00
Wasim Bari,c Murray b Roberts,9,12,13,0,0,75.00
Sikander Bakht,not out,1,4,3,0,0,25.00
