BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Sir Curtly Ambrose,10,0,29,1,2.90,-,-,-,0,0
Courtney Walsh,8.3,0,51,1,6.00,-,-,-,1,2
Ian Bishop,5,0,31,0,6.20,-,-,-,0,3
Roger Harper,10,0,47,4,4.70,-,-,-,0,1
Jimmy Adams,10,0,53,3,5.30,-,-,-,0,0
Keith Arthurton,6,0,29,1,4.83,-,-,-,0,0
