BOWLING,O,M,R,W,ECON,0s,4s,6s,WD,NB
Heath Streak,10,0,60,3,6.00,-,-,-,12,2
Charlie Lock,4,0,17,0,4.25,-,-,-,4,0
Eddo Brandes,8,0,35,0,4.38,-,-,-,1,1
Stephen Peall,3,0,23,0,7.67,-,-,-,0,0
Paul Strang,5,0,43,0,8.60,-,-,-,0,0
Guy Whittall,2,0,20,0,10.00,-,-,-,0,0
Grant Flower,5,1,26,0,5.20,-,-,-,0,0
