BATSMEN,,R,B,M,4s,6s,SR
Graham Gooch,c Aaqib Javed b Mushtaq Ahmed,29,66,93,1,0,43.94
Sir Ian Botham,c Moin Khan b Wasim Akram,0,6,12,0,0,0.00
Alec Stewart,c Moin Khan b Aaqib Javed,7,16,22,1,0,43.75
Graeme Hick,lbw b Mushtaq Ahmed,17,36,49,1,0,47.22
Neil Fairbrother,c Moin Khan b Aaqib Javed,62,70,97,3,0,88.57
Allan Lamb,b Wasim Akram,31,41,54,2,0,75.61
Chris Lewis,b Wasim Akram,0,1,6,0,0,0.00
Dermot Reeve,c Ramiz Raja b Mushtaq Ahmed,15,32,38,0,0,46.88
Derek Pringle,not out,18,16,29,1,0,112.50
Phil DeFreitas,run out (Saleem Malik/Moin Khan),10,8,13,0,0,125.00
Richard Illingworth,c Ramiz Raja b Imran Khan,14,10,9,2,0,140.00
