time_period,term,tfidf
2019-8-Q1,shootings,0.22941626547648716
2019-8-Q1,el_paso,0.22521932344035325
2019-8-Q1,toni,0.21156966747427125
2019-8-Q1,trump,0.1798276391000323
2019-8-Q1,dayton,0.15093855918169768
2019-8-Q1,morrison,0.1402124052760081
2019-8-Q1,new,0.13170474976340393
2019-8-Q1,woodstock,0.12430234285551575
2019-8-Q1,trade,0.10099399808611964
2019-8-Q1,gun,0.09408320992936137
2019-8-Q1,hong_kong,0.09163572197088836
2019-8-Q1,debates,0.09124625047613394
2019-8-Q1,briefing,0.09118021137466427
2019-8-Q1,china,0.08864742772536803
2019-8-Q1,says,0.07851629312818313
2019-8-Q1,war,0.07851629312818313
2019-8-Q1,review,0.0759835094788869
2019-8-Q1,white,0.07539845987250472
2019-8-Q1,terrorism,0.07379019470044502
2019-8-Q1,kashmir,0.07190322354182446
2019-8-Q2,trump,0.2247415334400264
2019-8-Q2,new,0.1698047141546866
2019-8-Q2,jefrey_epstein,0.15993195165479127
2019-8-Q2,el_paso,0.15476126898465326
2019-8-Q2,review,0.13734204821334944
2019-8-Q2,briefing,0.11736502301868044
2019-8-Q2,woodstock,0.11379871744122315
2019-8-Q2,hong_kong,0.10446222889757972
2019-8-Q2,war,0.09239374152534416
2019-8-Q2,summer,0.09206265700374516
2019-8-Q2,kashmir,0.08725046049460385
2019-8-Q2,august,0.08522594603522574
2019-8-Q2,weekend,0.08240522892800968
2019-8-Q2,epstein,0.08224968597413157
2019-8-Q2,airport,0.08049117125549096
2019-8-Q2,dies,0.07491384448000879
2019-8-Q2,says,0.06742246003200791
2019-8-Q2,police,0.06492533188267427
2019-8-Q2,american,0.06492533188267427
2019-8-Q2,2019,0.06340950641452434
2019-8-Q3,trump,0.23163686958792076
2019-8-Q3,greenland,0.1589107381540518
2019-8-Q3,hong_kong,0.15067834834817168
2019-8-Q3,garner,0.14443509517859054
2019-8-Q3,annual,0.12219834364183993
2019-8-Q3,briefing,0.11423188089267325
2019-8-Q3,new,0.10788566528752473
2019-8-Q3,trumps,0.08884701847207918
2019-8-Q3,contest,0.08812768737662689
2019-8-Q3,dies,0.08250080286693066
2019-8-Q3,summer,0.08232227016615473
2019-8-Q3,american,0.07932769506435641
2019-8-Q3,eric,0.07838618146012409
2019-8-Q3,review,0.07615458726178216
2019-8-Q3,man,0.0729814794592079
2019-8-Q3,pantaleo,0.07221754758929529
2019-8-Q3,recession,0.07089918473674027
2019-8-Q3,august,0.06618140875597095
2019-8-Q3,says,0.06346215605148513
2019-8-Q3,china,0.060289048248910876
2019-8-Q4,trump,0.2404558636453532
2019-8-Q4,g7,0.18337679468317447
2019-8-Q4,dorian,0.16503911521485706
2019-8-Q4,hurricane,0.15161625139245802
2019-8-Q4,new,0.12249638336650068
2019-8-Q4,war,0.1020803194720839
2019-8-Q4,summer,0.09911933859882263
2019-8-Q4,briefing,0.09754341638443573
2019-8-Q4,amazon,0.09647079282978242
2019-8-Q4,open,0.09300651329678757
2019-8-Q4,hong_kong,0.09233125553817577
2019-8-Q4,koch,0.09142039105195422
2019-8-Q4,dies,0.08846961020913939
2019-8-Q4,china,0.0862011586653153
2019-8-Q4,2019,0.08185650772791836
2019-8-Q4,trade,0.08040340768557025
2019-8-Q4,day,0.07485890094619486
2019-8-Q4,greenland,0.07350919868150728
2019-8-Q4,coco,0.07335071787326979
