BATSMEN,,R,B,M,4s,6s,SR
Jeremy Bray,b McGrath,1,2,3,0,0,50.00
William Porterfield,lbw b Tait,1,11,14,0,0,9.09
Eoin Morgan,c Hayden b McGrath,0,9,19,0,0,0.00
Niall O'Brien,b Tait,0,1,1,0,0,0.00
Kevin O'Brien,c Hodge b Clark,16,25,51,3,0,64.00
Andrew White,c Hogg b McGrath,6,20,30,0,0,30.00
Trent Johnston,b Tait,17,25,30,2,0,68.00
Kyle McCallan,c Tait b Symonds,5,18,32,0,0,27.78
John Mooney,run out (Tait),23,44,53,2,0,52.27
Dave Langford-Smith,c Ponting b Hogg,2,7,8,0,0,28.57
Boyd Rankin,not out,4,19,25,0,0,21.05
