BATSMEN,,R,B,M,4s,6s,SR
Tamim Iqbal,c Collingwood b Mahmood,8,7,5,2,0,114.29
Shahriar Nafees,c Strauss b Mahmood,9,18,36,1,0,50.00
Habibul Bashar,run out (Vaughan/Nixon),4,18,21,0,0,22.22
Mushfiqur Rahim,b Flintoff,7,11,21,1,0,63.64
Shakib Al Hasan,not out,57,95,139,6,1,60.00
Mohammad Ashraful,c Nixon b Anderson,1,6,14,0,0,16.67
Aftab Ahmed,c Nixon b Anderson,10,5,12,1,0,200.00
Mashrafe Mortaza,b Panesar,13,43,56,0,0,30.23
Mohammad Rafique,c Strauss b Panesar,0,4,7,0,0,0.00
Abdur Razzak,c Collingwood b Panesar,15,17,25,3,0,88.24
Syed Rasel,c Flintoff b Mahmood,4,2,4,1,0,200.00
