BATSMEN,,R,B,M,4s,6s,SR
Imam-ul-Haq,c Hope b Cottrell,2,11,15,0,0,18.18
Fakhar Zaman,b Russell,22,16,27,2,1,137.50
Babar Azam,c Hope b Thomas,22,33,47,2,0,66.67
Haris Sohail,c Hope b Russell,8,11,17,1,0,72.73
Sarfaraz Ahmed,c Hope b Holder,8,12,34,1,0,66.67
Mohammad Hafeez,c Cottrell b Thomas,16,24,36,2,0,66.67
Imad Wasim,c Gayle b Holder,1,3,6,0,0,33.33
Shadab Khan,lbw b Thomas,0,1,3,0,0,0.00
Hasan Ali,c Cottrell b Holder,1,4,6,0,0,25.00
Wahab Riaz,b Thomas,18,11,19,1,2,163.64
Mohammad Amir,not out,3,6,13,0,0,50.00
