BATSMEN,,R,B,M,4s,6s,SR
Sidath Wettimuny,lbw b Hadlee,7,19,-,1,0,36.84
Brendon Kuruppu,c Hadlee b Chatfield,26,60,-,5,0,43.33
Roy Dias,b Chatfield,25,43,-,4,0,58.14
Duleep Mendis,b Hadlee,43,70,-,2,0,61.43
Ranjan Madugalle,c Snedden b Coney,60,87,-,3,1,68.97
Arjuna Ranatunga,lbw b Hadlee,0,3,-,0,0,0.00
Somachandra De Silva,b Coney,13,20,-,0,0,65.00
Guy de Alwis,c Howarth b Snedden,16,17,-,2,0,94.12
Ashantha de Mel,c & b Hadlee,1,6,-,0,0,16.67
Rumesh Ratnayake,b Hadlee,5,9,-,0,0,55.56
Vinothen John,not out,2,5,-,0,0,40.00
