BATSMEN,,R,B,M,4s,6s,SR
KL Rahul,c Mushfiqur Rahim b Rubel Hossain,77,92,135,6,1,83.70
Rohit Sharma,c Liton Das b Soumya Sarkar,104,92,121,7,5,113.04
Virat Kohli,c Rubel Hossain b Mustafizur Rahman,26,27,45,3,0,96.30
Rishabh Pant,c Mosaddek Hossain b Shakib Al Hasan,48,41,56,6,1,117.07
Hardik Pandya,c Soumya Sarkar b Mustafizur Rahman,0,2,4,0,0,0.00
MS Dhoni,c Shakib Al Hasan b Mustafizur Rahman,35,33,52,4,0,106.06
Dinesh Karthik,c Mosaddek Hossain b Mustafizur Rahman,8,9,17,1,0,88.89
Bhuvneshwar Kumar,run out (Mushfiqur Rahim/Mustafizur Rahman),2,3,15,0,0,66.67
Mohammed Shami,b Mustafizur Rahman,1,2,6,0,0,50.00
Jasprit Bumrah,not out,0,0,1,0,0,0.00
